Updated,Confirmed,Deaths
03/10/2020,1,0.0
03/13/2020,2,0.0
03/15/2020,2,0.0
03/16/2020,2,0.0
03/17/2020,3,0.0
03/18/2020,7,0.0
03/19/2020,14,0.0
03/20/2020,18,0.0
03/21/2020,23,1.0
03/22/2020,30,1.0
03/23/2020,30,2.0
03/24/2020,45,2.0
03/25/2020,48,2.0
03/26/2020,51,4.0
03/27/2020,54,4.0
03/28/2020,58,8.0
03/29/2020,65,8.0
03/30/2020,81,8.0
03/31/2020,98,8.0
04/01/2020,109,9.0
04/02/2020,123,11.0
04/03/2020,134,13.0
04/04/2020,148,16.0
04/05/2020,154,18.0
04/06/2020,161,18.0
04/07/2020,180,18.0
04/08/2020,191,18.0
04/09/2020,203,18.0
04/10/2020,215,20.0
04/11/2020,223,20.0
04/12/2020,234,20.0
04/13/2020,235,20.0
04/14/2020,241,20.0
04/15/2020,254,21.0
04/16/2020,267,22.0
04/17/2020,287,23.0
04/18/2020,307,25.0
04/19/2020,327,25.0
04/20/2020,332,25.0
04/21/2020,350,25.0
04/22/2020,359,25.0
04/23/2020,377,25.0
04/24/2020,394,25.0
04/25/2020,416,28.0
04/26/2020,454,28.0
04/27/2020,492,28.0
04/28/2020,530,28.0
04/29/2020,568,29.0
04/30/2020,606,30.0
05/01/2020,644,31.0
05/02/2020,682,32.0
05/03/2020,720,33.0
05/04/2020,758,34.0
05/05/2020,796,35.0
05/06/2020,834,36.0
05/07/2020,872,37.0
05/08/2020,910,38.0
05/09/2020,948,39.0
05/10/2020,986,40.0
05/11/2020,1024,41.0
05/12/2020,1102,44.0
05/13/2020,1169,50.0
05/14/2020,1242,50.0
05/15/2020,1298,50.0
05/16/2020,1369,61.0
05/17/2020,1454,61.0
05/18/2020,1537,61.0
05/19/2020,1628,61.0
05/20/2020,1730,61.0
05/21/2020,1834,61.0
05/22/2020,1944,62.0
05/23/2020,2024,62.0
05/24/2020,2140,62.0
05/25/2020,2296,67.0
05/26/2020,2420,67.0
05/27/2020,2545,68.0
05/28/2020,2659,69.0
05/29/2020,2832,71.0
05/30/2020,2965,71.0
05/31/2020,3046,72.0
06/01/2020,3194,72.0
06/02/2020,3325,72.0
06/03/2020,3484,72.0
06/04/2020,3643,77.0
06/05/2020,3763,81.0
06/06/2020,3878,82.0
06/07/2020,4015,85.0
06/08/2020,4137,85.0
06/09/2020,4259,90.0
06/10/2020,4390,96.0
06/11/2020,4515,98.0
06/12/2020,4637,101.0
06/13/2020,4724,106.0
06/14/2020,4778,107.0
06/15/2020,4837,112.0
06/16/2020,4974,112.0
06/17/2020,5037,112.0
06/18/2020,5100,115.0
06/19/2020,5283,117.0
06/20/2020,5477,122.0
06/21/2020,5826,130.0
06/22/2020,5924,135.0
06/23/2020,6027,135.0
06/24/2020,6213,142.0
06/25/2020,6411,142.0
