Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange
03/03/2020,1,0,0,0
03/04/2020,1,0,0,0
03/05/2020,2,1,0,0
03/06/2020,8,6,0,0
03/07/2020,9,1,1,1
03/08/2020,12,3,1,0
03/09/2020,17,5,1,0
03/10/2020,19,2,1,0
03/11/2020,21,2,1,0
03/12/2020,31,10,1,0
03/13/2020,34,3,2,1
03/14/2020,45,11,2,0
03/15/2020,56,11,2,0
03/16/2020,65,9,2,0
03/17/2020,79,14,2,0
03/18/2020,97,18,2,0
03/19/2020,128,31,3,1
03/20/2020,158,30,3,0
03/21/2020,225,67,4,1
03/22/2020,266,41,4,0
03/23/2020,301,35,4,0
03/24/2020,387,86,6,2
03/25/2020,502,115,8,2
03/26/2020,589,87,12,4
03/27/2020,690,101,17,5
03/28/2020,745,55,19,2
03/29/2020,820,75,20,1
03/30/2020,966,146,24,4
03/31/2020,1054,88,27,3
04/01/2020,1133,79,31,4
04/02/2020,1265,132,36,5
04/03/2020,1353,88,42,6
04/04/2020,1451,98,43,1
04/05/2020,1554,103,46,3
04/06/2020,1628,74,53,7
04/07/2020,1715,87,60,7
04/08/2020,1795,80,65,5
04/09/2020,1894,99,79,14
04/10/2020,1975,81,82,3
04/11/2020,2137,162,89,7
04/12/2020,2203,66,94,5
04/13/2020,2272,69,98,4
04/14/2020,2432,160,105,7
04/15/2020,2560,128,112,7
04/16/2020,2658,98,122,10
04/17/2020,2747,89,129,7
04/18/2020,2828,81,132,3
04/19/2020,2930,102,134,2
04/20/2020,3020,90,142,8
04/21/2020,3133,113,151,9
04/22/2020,3276,143,159,8
04/23/2020,3423,147,165,6
04/24/2020,3595,172,176,11
04/25/2020,3767,172,185,9
04/26/2020,3879,112,192,7
04/27/2020,3990,111,197,5
04/28/2020,4114,124,207,10
04/29/2020,4272,158,214,7
04/30/2020,4415,143,218,4
05/01/2020,4519,104,225,7
05/02/2020,4668,149,237,12
05/03/2020,4770,102,246,9
05/04/2020,4874,104,260,14
05/05/2020,5007,133,264,4
05/06/2020,5195,188,273,9
05/07/2020,5358,163,282,9
05/08/2020,5598,240,293,11
05/09/2020,5763,165,300,7
05/10/2020,6021,258,305,5
05/11/2020,6265,244,314,9
05/12/2020,6550,285,319,5
05/13/2020,6866,316,329,10
05/14/2020,7121,255,353,24
05/15/2020,7466,345,356,3
05/16/2020,7792,326,363,7
05/17/2020,8055,263,373,10
05/18/2020,8358,303,382,9
05/19/2020,8796,438,393,11
05/20/2020,9270,474,403,10
05/21/2020,9918,648,416,13
05/22/2020,10636,718,433,17
05/23/2020,11340,704,445,12
05/24/2020,12063,723,452,7
05/25/2020,12615,552,467,15
05/26/2020,13215,600,490,23
05/27/2020,13920,705,500,10
05/28/2020,14689,769,508,8
05/29/2020,15406,717,520,12
05/30/2020,16201,795,528,8
05/31/2020,16838,637,539,11
06/01/2020,17402,564,556,17
06/02/2020,18306,904,569,13
06/03/2020,19255,949,583,14
06/04/2020,20184,929,608,25
06/05/2020,21024,840,632,24
06/06/2020,22007,983,648,16
06/07/2020,22781,774,664,16
06/08/2020,23607,826,693,29
06/09/2020,24748,1141,717,24
06/10/2020,25974,1226,735,18
06/11/2020,27360,1386,765,30
06/12/2020,28751,1391,785,20
06/13/2020,30282,1531,815,30
06/14/2020,31564,1282,833,18
06/15/2020,32772,1208,854,21
06/16/2020,34146,1374,878,24
06/17/2020,35539,1393,913,35
06/18/2020,37497,1958,948,35
06/19/2020,39557,2060,979,31
06/20/2020,41191,1634,992,13
06/21/2020,42772,1581,1011,19
06/22/2020,44918,2146,1043,32
06/23/2020,47203,2285,1078,35
06/24/2020,49838,2635,1116,38
06/25/2020,52444,2606,1150,34
06/26/2020,55330,2886,1184,34
06/27/2020,57731,2401,1207,23
06/28/2020,59920,2189,1232,25
06/29/2020,62255,2335,1280,48
06/30/2020,64517,2262,1307,27
07/01/2020,67184,2667,1351,44
07/02/2020,69928,2744,1385,34
07/03/2020,72773,2845,1437,52
07/04/2020,75363,2590,1481,44
07/05/2020,77802,2439,1507,26
07/06/2020,80434,2632,1582,75
