Updated,Confirmed,Deaths
02/24/2020,1,0
03/06/2020,2,0
03/07/2020,2,0
03/08/2020,2,0
03/09/2020,2,0
03/10/2020,2,0
03/11/2020,2,0
03/12/2020,2,0
03/13/2020,2,0
03/14/2020,2,0
03/15/2020,3,0
03/16/2020,4,0
03/17/2020,10,0
03/18/2020,11,0
03/19/2020,13,0
03/20/2020,27,0
03/21/2020,40,0
03/22/2020,40,0
03/23/2020,56,0
03/24/2020,66,0
03/25/2020,70,1
03/26/2020,88,1
03/27/2020,92,2
03/28/2020,113,2
03/29/2020,139,2
03/30/2020,142,6
03/31/2020,193,6
04/01/2020,233,6
04/02/2020,284,7
04/03/2020,509,8
04/04/2020,555,9
04/05/2020,650,9
04/06/2020,658,9
04/07/2020,685,9
04/08/2020,730,10
04/09/2020,803,10
04/10/2020,820,12
04/11/2020,834,12
04/13/2020,848,14
04/14/2020,897,17
04/15/2020,946,18
04/16/2020,996,19
04/17/2020,1006,21
04/18/2020,1017,21
04/19/2020,1090,42
04/20/2020,1163,42
04/21/2020,1220,43
04/22/2020,1277,43
04/23/2020,1334,43
04/24/2020,1430,43
04/25/2020,1518,53
04/26/2020,1621,56
04/27/2020,1705,58
04/28/2020,1755,58
04/29/2020,1806,61
04/30/2020,1832,61
05/01/2020,1954,61
05/02/2020,2077,64
05/03/2020,2086,64
05/04/2020,2095,64
05/05/2020,2104,64
05/06/2020,2265,108
05/07/2020,2267,108
05/08/2020,2355,108
05/09/2020,2444,108
05/10/2020,2533,114
05/11/2020,2622,114
05/12/2020,2711,125
05/13/2020,2800,136
05/14/2020,2954,139
05/15/2020,3029,139
05/16/2020,3105,140
05/17/2020,3317,140
05/18/2020,3529,140
05/19/2020,3631,140
05/20/2020,3733,146
05/21/2020,4288,156
05/22/2020,4400,159
05/23/2020,4645,159
05/24/2020,4890,165
05/25/2020,5163,165
05/26/2020,5436,165
05/27/2020,5553,165
05/28/2020,5670,165
05/29/2020,5787,177
05/30/2020,5904,191
05/31/2020,6150,191
06/01/2020,6397,199
06/02/2020,6585,200
06/03/2020,6687,200
06/04/2020,6789,203
06/05/2020,7392,205
06/06/2020,7599,212
06/07/2020,7908,219
06/08/2020,8060,226
06/09/2020,8312,233
06/10/2020,8681,240
06/11/2020,8917,247
06/12/2020,9153,254
06/13/2020,9390,261
06/14/2020,9627,268
06/15/2020,9864,276
06/16/2020,10218,276
06/17/2020,10572,276
06/18/2020,10926,276
06/19/2020,11281,300
06/20/2020,11610,301
06/21/2020,11892,303
06/22/2020,12041,308
06/23/2020,12270,313
06/24/2020,12592,313
06/25/2020,12703,313
06/26/2020,12815,313
06/27/2020,12927,313
06/28/2020,13039,313
06/29/2020,13151,313
06/30/2020,13263,313
07/01/2020,13375,313
07/02/2020,13487,313
07/03/2020,13599,313
07/04/2020,13711,328
07/05/2020,13711,328
