Updated,Confirmed,Deaths
03/14/2020,1,0
03/16/2020,5,0
03/17/2020,7,0
03/18/2020,7,0
03/19/2020,11,0
03/20/2020,11,0
03/21/2020,17,0
03/22/2020,19,0
03/23/2020,36,0
03/24/2020,40,0
03/25/2020,41,0
03/26/2020,41,0
03/27/2020,50,0
03/28/2020,60,0
03/29/2020,70,0
03/30/2020,72,0
03/31/2020,75,0
04/01/2020,82,0
04/02/2020,84,0
04/03/2020,89,0
04/04/2020,102,0
04/05/2020,104,0
04/06/2020,105,0
04/07/2020,107,0
04/08/2020,110,0
04/09/2020,111,0
04/10/2020,113,0
04/11/2020,120,0
04/12/2020,125,0
04/13/2020,127,0
04/14/2020,134,0
04/15/2020,136,0
04/16/2020,138,0
04/17/2020,143,0
04/18/2020,144,0
04/19/2020,147,0
04/20/2020,148,0
04/21/2020,150,0
04/22/2020,153,0
04/23/2020,154,0
04/24/2020,176,0
04/25/2020,183,0
04/26/2020,191,0
04/27/2020,207,0
04/28/2020,212,0
04/29/2020,225,0
04/30/2020,243,0
05/01/2020,249,0
05/02/2020,255,0
05/03/2020,259,0
05/04/2020,261,0
05/05/2020,264,0
05/06/2020,268,0
05/07/2020,271,0
05/08/2020,273,0
05/09/2020,280,0
05/10/2020,284,0
05/11/2020,285,0
05/12/2020,286,0
05/13/2020,287,0
05/14/2020,287,0
05/15/2020,288,0
05/16/2020,289,0
05/17/2020,292,0
05/18/2020,297,0
05/19/2020,308,0
05/20/2020,314,0
05/21/2020,320,0
05/22/2020,321,0
05/23/2020,325,0
05/24/2020,327,0
05/25/2020,348,0
05/26/2020,369,0
05/27/2020,369,0
05/28/2020,369,0
05/29/2020,369,0
05/30/2020,369,1
05/31/2020,370,1
06/01/2020,377,1
06/02/2020,384,1
06/03/2020,397,1
06/04/2020,410,2
06/05/2020,420,2
06/06/2020,431,2
06/07/2020,439,2
06/08/2020,451,2
06/09/2020,463,2
06/10/2020,476,2
06/11/2020,494,2
06/12/2020,510,2
06/13/2020,541,2
06/14/2020,564,2
06/15/2020,588,2
06/16/2020,612,2
06/17/2020,636,2
06/18/2020,639,2
06/19/2020,646,2
06/20/2020,661,2
06/21/2020,702,2
06/22/2020,787,2
06/23/2020,798,2
06/24/2020,830,2
06/25/2020,844,2
06/26/2020,858,2
06/27/2020,879,2
06/28/2020,900,2
06/29/2020,1001,2
06/30/2020,1021,2
07/01/2020,1042,3
07/02/2020,1055,3
07/03/2020,1068,3
07/04/2020,1081,3
07/05/2020,1092,3
