Updated,Confirmed,Deaths
03/31/2020,2,0
04/01/2020,2,0
04/02/2020,3,0
04/03/2020,3,0
04/04/2020,3,0
04/05/2020,3,0
04/06/2020,3,0
04/07/2020,3,0
04/08/2020,3,0
04/09/2020,3,0
04/10/2020,3,0
04/11/2020,3,0
04/12/2020,5,0
04/13/2020,5,1
04/14/2020,5,1
04/15/2020,5,1
04/16/2020,5,1
04/17/2020,5,1
04/18/2020,5,1
04/19/2020,5,1
04/20/2020,5,1
04/21/2020,5,1
04/22/2020,11,1
04/23/2020,11,1
04/24/2020,11,1
04/25/2020,11,1
04/26/2020,11,1
04/27/2020,11,1
04/28/2020,11,1
04/29/2020,11,1
04/30/2020,11,1
05/01/2020,11,1
05/02/2020,15,1
05/03/2020,15,1
05/04/2020,15,1
05/05/2020,15,1
05/06/2020,15,1
05/07/2020,15,1
05/08/2020,15,1
05/09/2020,15,1
05/10/2020,15,1
05/11/2020,15,1
05/12/2020,15,1
05/13/2020,15,1
05/14/2020,15,1
05/15/2020,15,1
05/16/2020,15,1
05/17/2020,23,1
05/18/2020,42,1
05/19/2020,42,1
05/20/2020,42,1
05/21/2020,42,1
05/22/2020,42,1
05/23/2020,42,1
05/24/2020,42,1
05/25/2020,42,1
05/26/2020,42,1
05/27/2020,42,1
05/28/2020,42,1
05/29/2020,42,1
05/30/2020,42,1
05/31/2020,63,1
06/01/2020,65,1
06/02/2020,68,1
06/03/2020,71,1
06/04/2020,74,1
06/05/2020,77,1
06/06/2020,80,1
06/07/2020,83,1
06/08/2020,83,1
06/09/2020,83,1
06/10/2020,84,1
06/11/2020,85,1
06/12/2020,88,1
06/13/2020,92,1
06/14/2020,96,1
06/15/2020,100,1
06/16/2020,104,1
06/17/2020,112,1
06/18/2020,120,1
06/19/2020,128,1
06/20/2020,136,1
06/21/2020,144,1
06/22/2020,147,1
06/23/2020,150,1
06/24/2020,154,1
06/25/2020,158,1
06/26/2020,162,1
06/27/2020,166,1
06/28/2020,170,1
06/29/2020,174,1
06/30/2020,178,1
07/01/2020,182,1
07/02/2020,186,1
07/03/2020,191,1
07/04/2020,170,1
07/05/2020,170,1
