Updated,Confirmed,Deaths
02/24/2020,1,0.0
02/25/2020,8,0.0
02/26/2020,26,0.0
02/27/2020,33,0.0
02/28/2020,33,0.0
02/29/2020,38,0.0
03/01/2020,40,0.0
03/02/2020,47,0.0
03/03/2020,49,0.0
03/04/2020,49,0.0
03/05/2020,49,0.0
03/06/2020,49,0.0
03/07/2020,49,0.0
03/08/2020,56,0.0
03/09/2020,79,0.0
03/10/2020,109,0.0
03/11/2020,110,0.0
03/12/2020,189,0.0
03/13/2020,195,0.0
03/14/2020,210,0.0
03/15/2020,211,0.0
03/16/2020,221,1.0
03/17/2020,229,1.0
03/18/2020,237,1.0
03/19/2020,269,1.0
03/20/2020,285,1.0
03/21/2020,306,1.0
03/22/2020,333,1.0
03/23/2020,339,2.0
03/24/2020,390,2.0
03/25/2020,419,3.0
03/26/2020,457,4.0
03/27/2020,466,4.0
03/28/2020,473,4.0
03/29/2020,500,4.0
03/30/2020,515,4.0
03/31/2020,567,4.0
04/01/2020,569,4.0
04/02/2020,635,4.0
04/03/2020,672,4.0
04/04/2020,688,4.0
04/05/2020,700,4.0
04/06/2020,723,4.0
04/07/2020,811,5.0
04/08/2020,821,5.0
04/09/2020,855,5.0
04/10/2020,925,5.0
04/11/2020,1016,6.0
04/12/2020,1136,6.0
04/13/2020,1361,6.0
04/14/2020,1528,7.0
04/15/2020,1671,7.0
04/16/2020,1673,7.0
04/17/2020,1744,7.0
04/18/2020,1812,7.0
04/19/2020,1881,7.0
04/20/2020,1894,7.0
04/21/2020,1907,7.0
04/22/2020,2027,7.0
04/23/2020,2217,8.0
04/24/2020,2518,8.0
04/25/2020,2588,8.0
04/26/2020,2647,8.0
04/27/2020,2723,8.0
04/28/2020,2811,8.0
04/29/2020,2921,8.0
04/30/2020,3040,8.0
05/01/2020,3170,8.0
05/02/2020,3284,8.0
05/03/2020,3383,8.0
05/04/2020,3533,8.0
05/05/2020,3720,8.0
05/06/2020,3934,8.0
05/07/2020,4199,8.0
05/08/2020,4444,8.0
05/09/2020,4774,8.0
05/10/2020,4941,8.0
05/11/2020,5236,8.0
05/12/2020,5531,9.0
05/13/2020,5816,10.0
05/14/2020,6198,10.0
05/15/2020,6583,12.0
05/16/2020,6747,12.0
05/17/2020,6956,12.0
05/18/2020,7184,12.0
05/19/2020,7532,12.0
05/20/2020,7888,12.0
05/21/2020,8174,12.0
05/22/2020,8414,12.0
05/23/2020,8802,13.0
05/24/2020,9138,14.0
05/25/2020,9171,14.0
05/26/2020,9366,14.0
05/27/2020,9692,15.0
05/28/2020,10052,15.0
05/29/2020,10449,15.0
05/30/2020,10793,17.0
05/31/2020,11398,19.0
06/01/2020,11871,19.0
06/02/2020,12311,19.0
06/03/2020,12815,20.0
06/04/2020,13296,21.0
06/05/2020,13835,22.0
06/06/2020,14383,24.0
06/07/2020,14763,26.0
06/08/2020,15417,27.0
06/09/2020,15731,29.0
06/10/2020,16200,31.0
06/11/2020,16667,34.0
06/12/2020,17269,36.0
06/13/2020,17713,37.0
06/14/2020,18227,42.0
06/15/2020,19013,46.0
06/16/2020,19553,47.0
06/17/2020,19961,49.0
06/18/2020,20430,55.0
06/19/2020,20916,57.0
06/20/2020,21331,60.0
06/21/2020,21764,63.0
06/22/2020,22407,65.0
06/23/2020,23062,67.0
06/24/2020,23570,69.0
06/25/2020,24081,71.0
06/26/2020,24805,73.0
