Updated,Confirmed,Deaths
02/26/2020,1,0
02/27/2020,1,0
02/28/2020,1,0
02/29/2020,2,0
03/01/2020,2,0
03/02/2020,2,0
03/03/2020,2,0
03/04/2020,4,0
03/05/2020,8,0
03/06/2020,14,0
03/07/2020,19,0
03/08/2020,25,0
03/09/2020,30,0
03/10/2020,34,0
03/11/2020,52,0
03/12/2020,76,0
03/13/2020,98,0
03/14/2020,121,0
03/15/2020,200,0
03/16/2020,234,0
03/17/2020,291,1
03/18/2020,428,4
03/19/2020,621,7
03/20/2020,964,11
03/21/2020,1178,18
03/22/2020,1546,25
03/23/2020,1891,34
03/24/2020,2201,46
03/25/2020,2433,57
03/26/2020,2915,77
03/27/2020,3417,92
03/28/2020,3904,114
03/29/2020,4256,136
03/30/2020,4579,159
03/31/2020,5717,201
04/01/2020,6836,240
04/02/2020,7910,299
04/03/2020,9056,359
04/04/2020,10278,431
04/05/2020,11130,486
04/06/2020,12056,553
04/07/2020,13717,667
04/08/2020,15927,800
04/09/2020,17857,941
04/10/2020,19638,1056
04/11/2020,20727,1124
04/12/2020,22169,1223
04/13/2020,23430,1328
04/14/2020,25262,1532
04/15/2020,28320,1736
04/16/2020,30425,1924
04/17/2020,33682,2141
04/18/2020,36599,2347
04/19/2020,38654,2462
04/20/2020,40581,2575
04/21/2020,43079,2741
04/22/2020,45757,2906
04/23/2020,49492,3313
04/24/2020,52995,3670
04/25/2020,58509,4016
04/26/2020,61888,4205
04/27/2020,66501,4543
04/28/2020,71886,5017
04/29/2020,78162,5466
04/30/2020,85380,5901
05/01/2020,91589,6329
05/02/2020,96559,6750
05/03/2020,101147,7025
05/04/2020,107780,7321
05/05/2020,114715,7921
05/06/2020,125218,8536
05/07/2020,135106,9146
05/08/2020,145328,9897
05/09/2020,155939,10627
05/10/2020,162699,11123
05/11/2020,168331,11519
05/12/2020,178214,12461
05/13/2020,188974,13149
05/14/2020,202918,13993
05/15/2020,218223,14817
05/16/2020,233142,15633
05/17/2020,241080,16118
05/18/2020,254220,16792
05/19/2020,271628,17971
05/20/2020,291579,18859
05/21/2020,310087,20047
05/22/2020,330890,21048
05/23/2020,347398,22013
05/24/2020,363211,22666
05/25/2020,374898,23473
05/26/2020,391222,24512
05/27/2020,411821,25598
05/28/2020,438238,26754
05/29/2020,465166,27878
05/30/2020,498440,28834
05/31/2020,514849,29314
06/01/2020,526447,29937
06/02/2020,555383,31199
06/03/2020,584016,32548
06/04/2020,614941,34021
06/05/2020,645771,35026
06/06/2020,672846,35930
06/07/2020,691758,36455
06/08/2020,707412,37134
06/09/2020,739503,38406
06/10/2020,772416,39680
06/11/2020,802828,40919
06/12/2020,828810,41828
06/13/2020,850514,42720
06/14/2020,867624,43332
06/15/2020,888271,43959
06/16/2020,923189,45241
06/17/2020,955377,46510
06/18/2020,978142,47748
06/19/2020,1032913,48954
06/20/2020,1067579,49976
06/21/2020,1085038,50617
06/22/2020,1106470,51271
06/23/2020,1145906,52645
06/24/2020,1188631,53830
06/25/2020,1228114,54971
06/26/2020,1274974,55961
06/27/2020,1313667,57070
06/28/2020,1344143,57622
06/29/2020,1368195,58314
06/30/2020,1402041,59594
07/01/2020,1448753,60632
07/02/2020,1496858,61884
07/03/2020,1539081,63174
07/04/2020,1577004,64265
07/05/2020,1603055,64867
07/06/2020,1623284,65487
