Updated,Confirmed,Deaths
01/31/2020,2,0.0
02/01/2020,2,0.0
02/02/2020,2,0.0
02/03/2020,2,0.0
02/04/2020,2,0.0
02/05/2020,2,0.0
02/06/2020,3,0.0
02/07/2020,3,0.0
02/08/2020,3,0.0
02/09/2020,4,0.0
02/10/2020,8,0.0
02/11/2020,8,0.0
02/12/2020,8,0.0
02/13/2020,9,0.0
02/14/2020,9,0.0
02/15/2020,9,0.0
02/16/2020,9,0.0
02/17/2020,9,0.0
02/18/2020,9,0.0
02/19/2020,9,0.0
02/20/2020,9,0.0
02/21/2020,9,0.0
02/22/2020,9,0.0
02/23/2020,9,0.0
02/24/2020,13,0.0
02/25/2020,13,0.0
02/26/2020,13,0.0
02/27/2020,13,0.0
02/28/2020,19,0.0
02/29/2020,23,0.0
03/01/2020,35,0.0
03/02/2020,40,0.0
03/03/2020,51,0.0
03/04/2020,85,0.0
03/05/2020,114,1.0
03/06/2020,160,2.0
03/07/2020,206,2.0
03/08/2020,271,3.0
03/09/2020,321,5.0
03/10/2020,373,6.0
03/11/2020,456,8.0
03/12/2020,590,8.0
03/13/2020,797,10.0
03/14/2020,1061,21.0
03/15/2020,1391,35.0
03/16/2020,1543,55.0
03/17/2020,1950,71.0
03/18/2020,2626,103.0
03/19/2020,3269,144.0
03/20/2020,3983,177.0
03/21/2020,5018,233.0
03/22/2020,5683,281.0
03/23/2020,6650,335.0
03/24/2020,8077,422.0
03/25/2020,9529,578.0
03/26/2020,11658,759.0
03/27/2020,14548,1019.0
03/28/2020,17104,1228.0
03/29/2020,19606,1408.0
03/30/2020,22271,1789.0
03/31/2020,25521,2352.0
04/01/2020,30088,2921.0
04/02/2020,34610,3605.0
04/03/2020,39282,4313.0
04/04/2020,43282,4932.0
04/05/2020,49481,5373.0
04/06/2020,53624,6159.0
04/07/2020,57512,7097.0
04/08/2020,63377,7978.0
04/09/2020,68052,8958.0
04/10/2020,73758,9875.0
04/11/2020,78991,10612.0
04/12/2020,84279,11329.0
04/13/2020,88621,12107.0
04/14/2020,93873,12868.0
04/15/2020,98476,13729.0
04/16/2020,103093,14576.0
04/17/2020,108692,15464.0
04/18/2020,114217,16060.0
04/19/2020,120067,16509.0
04/20/2020,124743,17337.0
04/21/2020,129044,18100.0
04/22/2020,133495,18738.0
04/23/2020,138078,19506.0
04/24/2020,143464,23635.0
04/25/2020,148377,24055.0
04/26/2020,152840,24393.0
04/27/2020,157149,25302.0
04/28/2020,161145,26097.0
04/29/2020,165221,26771.0
04/30/2020,171253,27510.0
05/01/2020,177454,28131.0
05/02/2020,182260,28446.0
05/03/2020,186599,28734.0
05/04/2020,190584,29427.0
05/05/2020,194990,30076.0
05/06/2020,201101,30615.0
05/07/2020,206715,31241.0
05/08/2020,211364,31587.0
05/09/2020,215260,31855.0
05/10/2020,219183,32065.0
05/11/2020,223060,32692.0
05/12/2020,226463,33186.0
05/13/2020,229705,33614.0
05/14/2020,233151,33998.0
05/15/2020,236711,34466.0
05/16/2020,240161,34636.0
05/17/2020,243695,34796.0
05/18/2020,246406,35341.0
05/19/2020,248818,35704.0
05/20/2020,249863,36042.0
05/21/2020,250908,36393.0
05/22/2020,254195,36675.0
05/23/2020,257154,36793.0
05/24/2020,259559,36914.0
05/25/2020,261184,37048.0
05/26/2020,263188,37460.0
05/27/2020,267240,38220.0
05/28/2020,269127,38593.0
05/29/2020,271222,38819.0
05/30/2020,272826,38934.0
05/31/2020,274762,39045.0
06/01/2020,276332,39369.0
06/02/2020,277985,39728.0
06/03/2020,279856,39904.0
06/04/2020,281661,40261.0
06/05/2020,283311,40465.0
06/06/2020,284868,40542.0
06/07/2020,286194,40597.0
06/08/2020,287399,40883.0
06/09/2020,289140,41128.0
06/10/2020,290143,41279.0
06/11/2020,291409,41481.0
06/12/2020,292950,41662.0
06/13/2020,294375,41698.0
06/14/2020,295889,41736.0
06/15/2020,296857,41969.0
06/16/2020,298136,42153.0
06/17/2020,299251,42288.0
06/18/2020,300469,42461.0
06/19/2020,301815,42589.0
06/20/2020,303110,42632.0
06/21/2020,304331,42647.0
06/22/2020,305289,42927.0
06/23/2020,306210,43081.0
06/24/2020,306862,43230.0
06/25/2020,307980,43414.0
06/26/2020,309360,43414.0
