Updated,Confirmed,Deaths
03/12/2020,3,0.0
03/13/2020,3,0.0
03/14/2020,4,0.0
03/15/2020,4,0.0
03/16/2020,4,0.0
03/17/2020,5,0.0
03/18/2020,10,0.0
03/19/2020,11,1.0
03/20/2020,16,1.0
03/21/2020,21,1.0
03/22/2020,35,1.0
03/23/2020,40,1.0
03/24/2020,48,1.0
03/25/2020,57,1.0
03/26/2020,67,1.0
03/27/2020,80,2.0
03/28/2020,119,3.0
03/29/2020,139,3.0
03/30/2020,170,4.0
03/31/2020,186,6.0
04/01/2020,212,6.0
04/02/2020,233,6.0
04/03/2020,260,6.0
04/04/2020,288,6.0
04/05/2020,320,8.0
04/06/2020,350,9.0
04/07/2020,403,10.0
04/08/2020,457,12.0
04/09/2020,510,13.0
04/10/2020,564,15.0
04/11/2020,616,16.0
04/12/2020,669,18.0
04/13/2020,726,21.0
04/14/2020,766,21.0
04/15/2020,814,24.0
04/16/2020,862,27.0
04/17/2020,923,31.0
04/18/2020,986,32.0
04/19/2020,1035,34.0
04/20/2020,1087,36.0
04/21/2020,1112,36.0
04/22/2020,1137,38.0
04/23/2020,1235,43.0
04/24/2020,1285,49.0
04/25/2020,1337,51.0
04/26/2020,1369,54.0
04/27/2020,1389,56.0
04/28/2020,1437,58.0
04/29/2020,1467,58.0
04/30/2020,1501,61.0
05/01/2020,1537,64.0
05/02/2020,1611,66.0
05/03/2020,1649,67.0
05/04/2020,1668,69.0
05/05/2020,1685,69.0
05/06/2020,1703,69.0
05/07/2020,1729,73.0
05/08/2020,1741,74.0
05/09/2020,1754,74.0
05/10/2020,1766,77.0
05/11/2020,1783,77.0
05/12/2020,1804,78.0
05/13/2020,1810,79.0
05/14/2020,1830,79.0
05/15/2020,1840,79.0
05/16/2020,1862,79.0
05/17/2020,1872,79.0
05/18/2020,1881,79.0
05/19/2020,1887,79.0
05/20/2020,1900,79.0
05/21/2020,1908,80.0
05/22/2020,1916,81.0
05/23/2020,1931,81.0
05/24/2020,1941,82.0
05/25/2020,1947,82.0
05/26/2020,1963,82.0
05/27/2020,1974,82.0
05/28/2020,1983,82.0
05/29/2020,2005,82.0
05/30/2020,2025,83.0
05/31/2020,2045,83.0
06/01/2020,2083,83.0
06/02/2020,2092,83.0
06/03/2020,2105,83.0
06/04/2020,2119,83.0
06/05/2020,2133,83.0
06/06/2020,2173,83.0
06/07/2020,2191,83.0
06/08/2020,2200,83.0
06/09/2020,2205,83.0
06/10/2020,2211,83.0
06/11/2020,2219,84.0
06/12/2020,2233,84.0
06/13/2020,2238,84.0
06/14/2020,2248,84.0
06/15/2020,2255,84.0
06/16/2020,2262,84.0
06/17/2020,2273,84.0
06/18/2020,2280,84.0
06/19/2020,2295,85.0
06/20/2020,2305,85.0
06/21/2020,2309,85.0
06/22/2020,2315,85.0
06/23/2020,2318,85.0
06/24/2020,2319,85.0
06/25/2020,2321,85.0
