Updated,Confirmed,Deaths
03/15/2020,1,0.0
03/16/2020,6,0.0
03/17/2020,10,0.0
03/18/2020,15,0.0
03/19/2020,23,0.0
03/20/2020,33,0.0
03/21/2020,43,0.0
03/22/2020,43,0.0
03/23/2020,46,0.0
03/24/2020,50,0.0
03/25/2020,60,0.0
03/26/2020,75,0.0
03/27/2020,88,1.0
03/28/2020,104,2.0
03/29/2020,144,2.0
03/30/2020,149,2.0
03/31/2020,172,2.0
04/01/2020,181,2.0
04/02/2020,205,2.0
04/03/2020,227,2.0
04/04/2020,266,2.0
04/05/2020,342,2.0
04/06/2020,457,2.0
04/07/2020,520,2.0
04/08/2020,545,3.0
04/09/2020,582,3.0
04/10/2020,624,3.0
04/11/2020,767,4.0
04/12/2020,865,4.0
04/13/2020,998,4.0
04/14/2020,1165,4.0
04/15/2020,1275,4.0
04/16/2020,1349,4.0
04/17/2020,1390,4.0
04/18/2020,1490,5.0
04/19/2020,1543,5.0
04/20/2020,1604,5.0
04/21/2020,1678,6.0
04/22/2020,1692,7.0
04/23/2020,1758,7.0
04/24/2020,1778,8.0
04/25/2020,1862,8.0
04/26/2020,1869,8.0
04/27/2020,1904,8.0
04/28/2020,1939,8.0
04/29/2020,2002,9.0
04/30/2020,2039,9.0
05/01/2020,2086,9.0
05/02/2020,2118,9.0
05/03/2020,2149,10.0
05/04/2020,2189,10.0
05/05/2020,2207,10.0
05/06/2020,2233,10.0
05/07/2020,2298,10.0
05/08/2020,2325,10.0
05/09/2020,2349,10.0
05/10/2020,2418,10.0
05/11/2020,2486,10.0
05/12/2020,2547,10.0
05/13/2020,2568,10.0
05/14/2020,2645,11.0
05/15/2020,2686,11.0
05/16/2020,2738,11.0
05/17/2020,2753,12.0
05/18/2020,2791,13.0
05/19/2020,2855,13.0
05/20/2020,2939,13.0
05/21/2020,2967,13.0
05/22/2020,3036,13.0
05/23/2020,3115,13.0
05/24/2020,3164,13.0
05/25/2020,3215,13.0
05/26/2020,3290,14.0
05/27/2020,3369,14.0
05/28/2020,3444,14.0
05/29/2020,3488,14.0
05/30/2020,3546,14.0
05/31/2020,3623,15.0
06/01/2020,3702,15.0
06/02/2020,3760,15.0
06/03/2020,3843,16.0
06/04/2020,3939,16.0
06/05/2020,4007,16.0
06/06/2020,4094,17.0
06/07/2020,4331,17.0
06/08/2020,4440,18.0
06/09/2020,4520,18.0
06/10/2020,4623,19.0
06/11/2020,4741,19.0
06/12/2020,4869,19.0
06/13/2020,4966,19.0
06/14/2020,5051,19.0
06/15/2020,5263,19.0
06/16/2020,5493,19.0
06/17/2020,5682,19.0
06/18/2020,5767,19.0
06/19/2020,5946,19.0
06/20/2020,6153,19.0
06/21/2020,6315,19.0
06/22/2020,6461,19.0
06/23/2020,6662,19.0
06/24/2020,6901,19.0
06/25/2020,7177,20.0
06/26/2020,7427,20.0
