Updated,Confirmed,Deaths
03/07/2020,3,0.0
03/08/2020,3,0.0
03/09/2020,5,0.0
03/10/2020,5,0.0
03/11/2020,7,0.0
03/12/2020,9,0.0
03/13/2020,13,0.0
03/14/2020,18,0.0
03/15/2020,21,0.0
03/16/2020,30,0.0
03/17/2020,38,0.0
03/18/2020,48,0.0
03/19/2020,53,0.0
03/20/2020,64,0.0
03/21/2020,73,0.0
03/22/2020,90,0.0
03/23/2020,107,0.0
03/24/2020,110,0.0
03/25/2020,129,0.0
03/26/2020,134,0.0
03/27/2020,139,0.0
03/28/2020,149,0.0
03/29/2020,151,0.0
03/30/2020,156,0.0
03/31/2020,169,0.0
04/01/2020,188,0.0
04/02/2020,195,0.0
04/03/2020,202,0.0
04/04/2020,213,0.0
04/05/2020,227,0.0
04/06/2020,241,0.0
04/07/2020,293,0.0
04/08/2020,299,1.0
04/09/2020,337,2.0
04/10/2020,350,2.0
04/11/2020,370,3.0
04/12/2020,378,3.0
04/13/2020,384,3.0
04/14/2020,393,3.0
04/15/2020,399,3.0
04/16/2020,412,3.0
04/17/2020,422,3.0
04/18/2020,426,3.0
04/19/2020,427,3.0
04/20/2020,431,3.0
04/21/2020,443,3.0
04/22/2020,444,3.0
04/23/2020,445,3.0
04/24/2020,447,3.0
04/25/2020,448,4.0
04/26/2020,449,4.0
04/27/2020,450,4.0
04/28/2020,458,4.0
04/29/2020,463,4.0
04/30/2020,465,4.0
05/01/2020,467,4.0
05/02/2020,468,4.0
05/03/2020,477,4.0
05/04/2020,480,4.0
05/05/2020,482,5.0
05/06/2020,484,5.0
05/07/2020,486,5.0
05/08/2020,489,5.0
05/09/2020,490,5.0
05/10/2020,496,5.0
05/11/2020,503,5.0
05/12/2020,506,5.0
05/13/2020,508,6.0
05/14/2020,522,6.0
05/15/2020,532,6.0
05/16/2020,546,6.0
05/17/2020,553,6.0
05/18/2020,558,6.0
05/19/2020,569,6.0
05/20/2020,584,6.0
05/21/2020,599,6.0
05/22/2020,600,6.0
05/23/2020,609,6.0
05/24/2020,610,6.0
05/25/2020,611,6.0
05/26/2020,611,6.0
05/27/2020,612,7.0
05/28/2020,616,7.0
05/29/2020,617,9.0
05/30/2020,618,9.0
05/31/2020,618,9.0
06/01/2020,619,9.0
06/02/2020,620,9.0
06/03/2020,622,9.0
06/04/2020,623,9.0
06/05/2020,625,9.0
06/06/2020,627,9.0
06/07/2020,629,9.0
06/08/2020,630,9.0
06/09/2020,632,9.0
06/10/2020,635,9.0
06/11/2020,640,9.0
06/12/2020,645,9.0
06/13/2020,646,9.0
06/14/2020,649,9.0
06/15/2020,650,9.0
06/16/2020,656,9.0
06/17/2020,662,9.0
06/18/2020,663,9.0
06/19/2020,663,9.0
06/20/2020,664,9.0
06/21/2020,665,9.0
06/22/2020,665,9.0
06/23/2020,666,9.0
06/24/2020,667,9.0
06/25/2020,668,9.0
06/26/2020,670,9.0
