Updated,Confirmed,Deaths
03/11/2020,1,0.0
03/12/2020,1,0.0
03/13/2020,1,0.0
03/14/2020,2,0.0
03/15/2020,2,0.0
03/16/2020,2,0.0
03/17/2020,2,0.0
03/18/2020,3,0.0
03/19/2020,3,0.0
03/20/2020,3,0.0
03/21/2020,3,0.0
03/22/2020,3,0.0
03/23/2020,4,0.0
03/24/2020,4,0.0
03/25/2020,4,0.0
03/26/2020,4,0.0
03/27/2020,4,0.0
03/28/2020,4,0.0
03/29/2020,19,0.0
03/30/2020,19,0.0
03/31/2020,19,0.0
04/01/2020,22,2.0
04/02/2020,22,2.0
04/03/2020,22,2.0
04/04/2020,45,5.0
04/05/2020,45,5.0
04/06/2020,45,5.0
04/07/2020,45,5.0
04/08/2020,45,5.0
04/09/2020,45,5.0
04/10/2020,60,5.0
04/11/2020,64,5.0
04/13/2020,69,5.0
04/14/2020,74,5.0
04/15/2020,117,5.0
04/16/2020,130,5.0
04/17/2020,143,6.0
04/19/2020,151,6.0
04/20/2020,160,6.0
04/21/2020,173,6.0
04/22/2020,186,6.0
04/23/2020,193,6.0
04/24/2020,200,6.0
04/25/2020,200,8.0
04/26/2020,200,8.0
