Updated,Confirmed,Deaths
03/18/2020,1,0
03/19/2020,1,0.0
03/20/2020,3,0.0
03/21/2020,3,0.0
03/22/2020,3,0.0
03/23/2020,5,0.0
03/24/2020,9,0.0
03/25/2020,13,0.0
03/26/2020,13,0.0
03/27/2020,19,0.0
03/28/2020,24,0.0
03/29/2020,30,0.0
03/30/2020,32,0.0
03/31/2020,32,1.0
04/01/2020,41,2.0
04/02/2020,46,2.0
04/03/2020,56,3.0
04/04/2020,62,3.0
04/05/2020,69,3.0
04/06/2020,78,4.0
04/07/2020,93,5.0
04/08/2020,103,5.0
04/09/2020,117,6.0
04/10/2020,118,6.0
04/11/2020,125,6.0
04/12/2020,137,6.0
04/13/2020,149,6.0
04/14/2020,159,6.0
04/15/2020,164,6.0
04/16/2020,177,7.0
04/17/2020,190,7.0
04/18/2020,201,7.0
04/19/2020,218,7.0
04/20/2020,225,7.0
04/21/2020,237,7.0
04/22/2020,250,8.0
04/23/2020,261,8.0
04/24/2020,267,8.0
04/25/2020,274,8.0
04/26/2020,298,8.0
04/27/2020,345,8.0
04/28/2020,377,9.0
04/29/2020,395,9.0
04/30/2020,424,10.0
05/01/2020,446,10.0
05/02/2020,490,11.0
05/03/2020,555,12.0
05/04/2020,587,13.0
05/05/2020,633,14.0
05/06/2020,695,15.0
05/07/2020,742,15.0
05/08/2020,784,16.0
05/09/2020,889,17.0
05/10/2020,958,17.0
05/11/2020,998,18.0
05/12/2020,1037,20.0
05/13/2020,1112,20.0
05/14/2020,1210,23.0
05/15/2020,1265,25.0
05/16/2020,1338,27.0
05/17/2020,1413,30.0
05/18/2020,1498,30.0
05/19/2020,1571,31.0
05/20/2020,1640,32.0
05/21/2020,1725,33.0
05/22/2020,1819,33.0
05/23/2020,1915,35.0
05/24/2020,1983,35.0
05/25/2020,2042,36.0
05/26/2020,2109,37.0
05/27/2020,2194,39.0
05/28/2020,2278,42.0
05/29/2020,2395,44.0
05/30/2020,2517,46.0
05/31/2020,2582,46.0
06/01/2020,2653,46.0
06/02/2020,2705,49.0
06/03/2020,2781,51.0
06/04/2020,2849,53.0
06/05/2020,2934,53.0
06/06/2020,3015,53.0
06/07/2020,3104,55.0
06/08/2020,3191,58.0
06/09/2020,3274,60.0
06/10/2020,3373,64.0
06/11/2020,3481,68.0
06/12/2020,3603,72.0
06/13/2020,3720,72.0
06/14/2020,3826,74.0
06/15/2020,3941,76.0
06/16/2020,4066,78.0
06/17/2020,4200,82.0
06/18/2020,4329,86.0
06/19/2020,4475,93.0
06/20/2020,4626,98.0
06/21/2020,4808,107.0
06/22/2020,4973,113.0
06/23/2020,5150,119.0
06/24/2020,5336,126.0
06/25/2020,5517,133.0
06/26/2020,5727,143.0
