Updated,Confirmed,Deaths
03/17/2020,2,0.0
03/18/2020,8,0.0
03/19/2020,13,0.0
03/20/2020,14,0.0
03/21/2020,16,0.0
03/22/2020,22,1.0
03/23/2020,27,1.0
03/24/2020,47,1.0
03/25/2020,53,1.0
03/26/2020,69,1.0
03/27/2020,82,1.0
03/28/2020,84,1.0
03/29/2020,85,2.0
03/30/2020,91,2.0
03/31/2020,109,2.0
04/01/2020,123,2.0
04/02/2020,140,2.0
04/03/2020,174,2.0
04/04/2020,201,2.0
04/05/2020,214,2.0
04/06/2020,233,2.0
04/07/2020,241,2.0
04/08/2020,248,2.0
04/09/2020,252,2.0
04/10/2020,255,2.0
04/11/2020,263,2.0
04/12/2020,272,3.0
04/13/2020,274,3.0
04/14/2020,283,4.0
04/15/2020,288,4.0
04/16/2020,303,4.0
04/17/2020,305,5.0
04/18/2020,307,5.0
04/19/2020,308,5.0
04/20/2020,312,5.0
04/21/2020,313,5.0
04/22/2020,315,5.0
04/23/2020,316,5.0
04/24/2020,319,6.0
04/25/2020,320,6.0
04/26/2020,321,7.0
04/27/2020,321,7.0
04/28/2020,321,7.0
04/29/2020,322,7.0
04/30/2020,322,7.0
05/01/2020,322,7.0
05/02/2020,322,8.0
05/03/2020,322,8.0
05/04/2020,323,8.0
05/05/2020,323,8.0
05/06/2020,324,8.0
05/07/2020,324,8.0
05/08/2020,324,8.0
05/09/2020,324,8.0
05/10/2020,324,9.0
05/11/2020,324,9.0
05/12/2020,324,9.0
05/13/2020,324,9.0
05/14/2020,324,9.0
05/15/2020,324,9.0
05/16/2020,324,9.0
05/17/2020,324,9.0
05/18/2020,324,9.0
05/19/2020,324,9.0
05/20/2020,324,9.0
05/21/2020,324,9.0
05/22/2020,324,9.0
05/23/2020,324,9.0
05/24/2020,324,9.0
05/25/2020,324,9.0
05/26/2020,324,9.0
05/27/2020,324,9.0
05/28/2020,324,9.0
05/29/2020,324,9.0
05/30/2020,324,9.0
05/31/2020,324,9.0
06/01/2020,324,9.0
06/02/2020,324,9.0
06/03/2020,324,9.0
06/04/2020,324,9.0
06/05/2020,324,9.0
06/06/2020,324,9.0
06/07/2020,324,9.0
06/08/2020,324,9.0
06/09/2020,324,9.0
06/10/2020,324,9.0
06/11/2020,324,9.0
06/12/2020,324,9.0
06/13/2020,324,9.0
06/14/2020,324,9.0
06/15/2020,325,9.0
06/16/2020,326,9.0
06/17/2020,334,9.0
06/18/2020,337,9.0
06/19/2020,355,9.0
06/20/2020,359,9.0
06/21/2020,362,9.0
06/22/2020,367,9.0
06/23/2020,378,9.0
06/24/2020,389,9.0
06/25/2020,414,9.0
06/26/2020,439,9.0
