Updated,Confirmed,Deaths
03/22/2020,1,0.0
03/23/2020,1,0.0
03/24/2020,3,0.0
03/25/2020,5,0.0
03/26/2020,7,0.0
03/27/2020,7,0.0
03/28/2020,8,0.0
03/29/2020,8,0.0
03/30/2020,8,0.0
03/31/2020,8,0.0
04/01/2020,10,0.0
04/02/2020,10,0.0
04/03/2020,10,0.0
04/04/2020,10,0.0
04/05/2020,10,0.0
04/06/2020,10,0.0
04/07/2020,10,0.0
04/08/2020,10,0.0
04/09/2020,17,0.0
04/10/2020,20,0.0
04/11/2020,20,0.0
04/12/2020,21,0.0
04/14/2020,28,0.0
04/15/2020,29,0.0
04/16/2020,29,0.0
04/17/2020,31,0.0
04/18/2020,35,0.0
04/19/2020,39,0.0
04/20/2020,39,0.0
04/21/2020,39,0.0
04/22/2020,41,0.0
04/23/2020,46,0.0
04/24/2020,46,0.0
04/25/2020,70,0.0
04/26/2020,76,0.0
04/27/2020,76,0.0
04/28/2020,76,0.0
04/29/2020,77,0.0
04/30/2020,78,0.0
05/01/2020,79,0.0
05/02/2020,79,0.0
05/03/2020,80,0.0
05/04/2020,80,0.0
05/05/2020,81,0.0
05/06/2020,81,0.0
05/07/2020,81,0.0
05/08/2020,82,0.0
05/09/2020,87,0.0
05/10/2020,91,0.0
05/11/2020,103,0.0
05/12/2020,104,0.0
05/13/2020,107,0.0
05/14/2020,115,0.0
05/15/2020,119,0.0
05/16/2020,129,0.0
05/17/2020,137,0.0
05/18/2020,145,0.0
05/19/2020,146,0.0
05/20/2020,156,0.0
05/21/2020,162,0.0
05/22/2020,164,0.0
05/23/2020,168,0.0
05/24/2020,194,0.0
05/25/2020,209,1.0
05/26/2020,213,1.0
05/27/2020,227,1.0
05/28/2020,233,2.0
05/29/2020,234,2.0
05/30/2020,244,2.0
05/31/2020,254,2.0
06/01/2020,280,2.0
06/02/2020,307,2.0
06/03/2020,329,2.0
06/04/2020,352,2.0
06/05/2020,354,2.0
06/06/2020,409,2.0
06/07/2020,424,2.0
06/08/2020,433,2.0
06/09/2020,453,2.0
06/10/2020,472,2.0
06/11/2020,489,2.0
06/12/2020,509,2.0
06/13/2020,553,2.0
06/14/2020,571,2.0
06/15/2020,590,2.0
06/16/2020,609,3.0
06/17/2020,651,4.0
06/18/2020,656,4.0
06/19/2020,662,4.0
06/20/2020,668,4.0
06/21/2020,688,4.0
06/22/2020,737,5.0
06/23/2020,757,5.0
06/24/2020,762,5.0
06/25/2020,762,5.0
