Updated,Confirmed,Deaths
01/21/2020,2,0.0
01/22/2020,4,0.0
01/23/2020,4,0.0
01/24/2020,5,0.0
01/25/2020,6,0.0
01/26/2020,8,0.0
01/27/2020,8,0.0
01/28/2020,14,0.0
01/29/2020,14,0.0
01/30/2020,14,0.0
01/31/2020,19,0.0
02/01/2020,19,0.0
02/02/2020,19,0.0
02/03/2020,19,0.0
02/04/2020,19,0.0
02/05/2020,25,0.0
02/06/2020,25,0.0
02/07/2020,25,0.0
02/08/2020,32,0.0
02/09/2020,32,0.0
02/10/2020,32,0.0
02/11/2020,33,0.0
02/12/2020,33,0.0
02/13/2020,33,0.0
02/14/2020,33,0.0
02/15/2020,34,0.0
02/16/2020,34,0.0
02/17/2020,35,0.0
02/18/2020,35,0.0
02/19/2020,35,0.0
02/20/2020,35,0.0
02/21/2020,35,0.0
02/22/2020,35,0.0
02/23/2020,35,0.0
02/24/2020,35,0.0
02/25/2020,37,0.0
02/26/2020,40,0.0
02/27/2020,40,0.0
02/28/2020,40,0.0
02/29/2020,40,0.0
03/01/2020,42,0.0
03/02/2020,43,1.0
03/03/2020,43,1.0
03/04/2020,43,1.0
03/05/2020,47,1.0
03/06/2020,48,1.0
03/07/2020,50,1.0
03/08/2020,50,1.0
03/09/2020,50,1.0
03/10/2020,53,1.0
03/11/2020,59,1.0
03/12/2020,70,1.0
03/13/2020,75,1.0
03/14/2020,82,1.0
03/15/2020,114,1.0
03/16/2020,147,1.0
03/17/2020,177,1.0
03/18/2020,212,1.0
03/19/2020,272,1.0
03/20/2020,322,1.0
03/21/2020,411,1.0
03/22/2020,599,1.0
03/23/2020,721,1.0
03/24/2020,827,4.0
03/25/2020,934,4.0
03/26/2020,1045,4.0
03/27/2020,1136,5.0
03/28/2020,1245,6.0
03/29/2020,1388,7.0
03/30/2020,1524,9.0
03/31/2020,1651,10.0
04/01/2020,1771,12.0
04/02/2020,1875,15.0
04/03/2020,1978,19.0
04/04/2020,2067,20.0
04/05/2020,2169,23.0
04/06/2020,2220,26.0
04/07/2020,2258,27.0
04/08/2020,2369,30.0
04/09/2020,2423,32.0
04/10/2020,2473,33.0
04/11/2020,2518,35.0
04/12/2020,2551,38.0
04/13/2020,2579,40.0
04/14/2020,2613,41.0
04/15/2020,2643,43.0
04/16/2020,2672,46.0
04/17/2020,2700,47.0
04/18/2020,2733,47.0
04/19/2020,2765,47.0
04/20/2020,2792,47.0
04/21/2020,2811,47.0
04/22/2020,2826,49.0
04/23/2020,2839,50.0
04/24/2020,2854,50.0
04/25/2020,2907,51.0
04/26/2020,2922,51.0
04/27/2020,2931,52.0
04/28/2020,2938,54.0
04/29/2020,2947,54.0
04/30/2020,2954,54.0
05/01/2020,2960,54.0
05/02/2020,2966,54.0
05/03/2020,2969,54.0
05/04/2020,2987,54.0
05/05/2020,2988,54.0
05/06/2020,2989,55.0
05/07/2020,2992,55.0
05/08/2020,3000,55.0
05/09/2020,3004,56.0
05/10/2020,3009,56.0
05/11/2020,3015,56.0
05/12/2020,3017,56.0
05/13/2020,3017,56.0
05/14/2020,3018,56.0
05/15/2020,3025,56.0
05/16/2020,3026,56.0
05/17/2020,3028,56.0
05/18/2020,3031,56.0
05/19/2020,3033,56.0
05/20/2020,3034,56.0
05/21/2020,3037,56.0
05/22/2020,3038,56.0
05/23/2020,3040,56.0
05/24/2020,3041,56.0
05/25/2020,3042,57.0
05/26/2020,3045,57.0
05/27/2020,3054,57.0
05/28/2020,3065,57.0
05/29/2020,3076,57.0
05/30/2020,3077,57.0
05/31/2020,3081,57.0
06/01/2020,3082,57.0
06/02/2020,3083,58.0
06/03/2020,3084,58.0
06/04/2020,3101,58.0
06/05/2020,3102,58.0
06/06/2020,3104,58.0
06/07/2020,3112,58.0
06/08/2020,3119,58.0
06/09/2020,3121,58.0
06/10/2020,3125,58.0
06/11/2020,3127,58.0
06/12/2020,3129,58.0
06/13/2020,3134,58.0
06/14/2020,3135,58.0
06/15/2020,3136,58.0
06/16/2020,3137,58.0
06/17/2020,3139,58.0
06/18/2020,3141,58.0
06/19/2020,3146,58.0
06/20/2020,3147,58.0
06/21/2020,3148,58.0
06/22/2020,3151,58.0
06/23/2020,3156,58.0
06/24/2020,3157,58.0
06/25/2020,3158,58.0
06/26/2020,3162,58.0
