Updated,Confirmed,Deaths
02/21/2020,1,0.0
02/22/2020,1,0.0
02/23/2020,1,0.0
02/24/2020,1,0.0
02/25/2020,2,0.0
02/26/2020,2,0.0
02/27/2020,4,0.0
02/28/2020,7,0.0
02/29/2020,10,0.0
03/01/2020,11,0.0
03/02/2020,13,0.0
03/03/2020,15,0.0
03/04/2020,15,0.0
03/05/2020,22,0.0
03/06/2020,28,0.0
03/07/2020,32,0.0
03/08/2020,41,0.0
03/09/2020,52,1.0
03/10/2020,66,2.0
03/11/2020,73,3.0
03/12/2020,78,3.0
03/13/2020,93,3.0
03/14/2020,99,3.0
03/15/2020,110,3.0
03/16/2020,124,3.0
03/17/2020,133,4.0
03/18/2020,149,4.0
03/19/2020,163,4.0
03/20/2020,230,4.0
03/21/2020,248,4.0
03/22/2020,256,4.0
03/23/2020,304,4.0
03/24/2020,333,5.0
03/25/2020,368,6.0
03/26/2020,391,7.0
03/27/2020,412,8.0
03/28/2020,438,10.0
03/29/2020,446,11.0
03/30/2020,463,12.0
03/31/2020,479,14.0
04/01/2020,494,14.0
04/02/2020,508,17.0
04/03/2020,520,17.0
04/04/2020,527,18.0
04/05/2020,541,19.0
04/06/2020,548,19.0
04/07/2020,575,19.0
04/08/2020,582,19.0
04/09/2020,609,20.0
04/10/2020,619,20.0
04/11/2020,630,20.0
04/12/2020,632,20.0
04/13/2020,641,21.0
04/14/2020,658,21.0
04/15/2020,663,21.0
04/16/2020,668,21.0
04/17/2020,672,21.0
04/18/2020,673,21.0
04/19/2020,677,21.0
04/20/2020,679,21.0
04/21/2020,682,22.0
04/22/2020,688,22.0
04/23/2020,696,22.0
04/24/2020,704,24.0
04/25/2020,707,24.0
04/26/2020,710,24.0
04/27/2020,717,24.0
04/28/2020,721,24.0
04/29/2020,725,24.0
04/30/2020,729,24.0
05/01/2020,733,25.0
05/02/2020,737,25.0
05/03/2020,740,25.0
05/04/2020,741,25.0
05/05/2020,750,25.0
05/06/2020,784,25.0
05/07/2020,796,26.0
05/08/2020,809,26.0
05/09/2020,845,26.0
05/10/2020,859,26.0
05/11/2020,870,26.0
05/12/2020,878,26.0
05/13/2020,886,26.0
05/14/2020,891,26.0
05/15/2020,902,26.0
05/16/2020,911,26.0
05/17/2020,921,26.0
05/18/2020,931,26.0
05/19/2020,954,26.0
05/20/2020,1024,26.0
05/21/2020,1086,26.0
05/22/2020,1097,26.0
05/23/2020,1114,26.0
05/24/2020,1119,26.0
05/25/2020,1129,26.0
05/26/2020,1140,26.0
05/27/2020,1161,26.0
05/28/2020,1168,26.0
05/29/2020,1194,26.0
05/30/2020,1220,27.0
05/31/2020,1233,27.0
06/01/2020,1242,27.0
06/02/2020,1256,27.0
06/03/2020,1306,28.0
06/04/2020,1309,28.0
06/05/2020,1312,28.0
06/06/2020,1320,29.0
06/07/2020,1331,30.0
06/08/2020,1349,30.0
06/09/2020,1368,30.0
06/10/2020,1388,30.0
06/11/2020,1402,31.0
06/12/2020,1422,31.0
06/13/2020,1442,32.0
06/14/2020,1449,32.0
06/15/2020,1456,32.0
06/16/2020,1464,32.0
06/17/2020,1473,32.0
06/18/2020,1489,32.0
06/19/2020,1495,32.0
06/20/2020,1510,32.0
06/21/2020,1536,32.0
06/22/2020,1603,32.0
06/23/2020,1622,32.0
06/24/2020,1644,33.0
06/25/2020,1662,33.0
