Updated,Confirmed,Deaths
03/16/2020,1,0
03/17/2020,2,0
03/18/2020,2,0
03/19/2020,2,0
03/20/2020,2,0
03/21/2020,3,0
03/22/2020,3,0
03/23/2020,3,0
03/24/2020,3,0
03/25/2020,3,0
03/26/2020,3,0
03/27/2020,3,0
03/28/2020,3,0
03/29/2020,3,0
03/30/2020,3,0
03/31/2020,3,0
04/01/2020,6,0
04/02/2020,6,0
04/03/2020,7,0
04/04/2020,10,1
04/05/2020,13,3
04/06/2020,13,3
04/07/2020,13,3
04/08/2020,31,4
04/09/2020,31,4
04/10/2020,37,5
04/11/2020,37,5
04/12/2020,50,5
04/14/2020,50,5
04/16/2020,50,6
04/17/2020,76,7
04/19/2020,91,8
04/20/2020,99,8
04/21/2020,101,8
04/22/2020,106,8
04/23/2020,111,8
04/24/2020,117,8
04/25/2020,120,11
04/26/2020,124,12
04/27/2020,133,12
04/28/2020,141,16
04/29/2020,144,16
04/30/2020,148,16
05/01/2020,152,18
05/02/2020,154,18
05/03/2020,155,18
05/04/2020,166,18
05/05/2020,170,20
05/06/2020,178,20
05/07/2020,189,20
05/08/2020,199,20
05/09/2020,203,20
05/10/2020,207,20
05/11/2020,211,20
05/12/2020,212,20
05/13/2020,213,20
05/14/2020,215,20
05/15/2020,219,20
05/16/2020,223,20
05/17/2020,226,21
05/18/2020,229,22
05/19/2020,233,23
05/20/2020,238,23
05/21/2020,240,23
05/22/2020,249,24
05/23/2020,255,26
05/24/2020,265,26
05/25/2020,265,26
05/26/2020,266,26
05/27/2020,267,27
05/28/2020,269,27
05/29/2020,273,27
05/30/2020,280,27
05/31/2020,288,27
06/01/2020,296,27
06/02/2020,303,27
06/03/2020,311,28
06/04/2020,321,28
06/05/2020,334,30
06/06/2020,345,30
06/07/2020,359,30
06/08/2020,370,30
06/09/2020,383,31
06/10/2020,397,31
06/11/2020,410,31
06/12/2020,421,32
06/13/2020,446,32
06/14/2020,463,32
06/15/2020,480,32
06/16/2020,498,33
06/17/2020,509,33
06/18/2020,516,33
06/19/2020,542,33
06/20/2020,581,33
06/21/2020,601,33
06/22/2020,650,34
06/23/2020,652,34
06/24/2020,662,34
06/25/2020,673,34
06/26/2020,684,34
06/27/2020,726,34
06/28/2020,768,34
06/29/2020,770,36
06/30/2020,781,36
07/01/2020,792,36
07/02/2020,804,37
07/03/2020,818,37
07/04/2020,833,37
07/05/2020,833,37
