Updated,Confirmed,Deaths
01/21/2020,440,0.0
01/22/2020,571,0.0
01/23/2020,830,0.0
01/24/2020,1287,0.0
01/25/2020,1975,0.0
01/26/2020,2744,0.0
01/27/2020,4515,0.0
01/28/2020,5974,0.0
01/29/2020,7711,0.0
01/30/2020,9692,0.0
01/31/2020,11791,0.0
02/01/2020,14380,0.0
02/02/2020,17205,0.0
02/03/2020,20438,361.0
02/04/2020,24324,425.0
02/05/2020,28018,491.0
02/06/2020,31161,564.0
02/07/2020,34546,637.0
02/08/2020,37198,723.0
02/09/2020,40171,812.0
02/10/2020,42638,909.0
02/11/2020,44653,1017.0
02/12/2020,46472,1114.0
02/13/2020,48467,1368.0
02/14/2020,49970,1381.0
02/15/2020,51091,1524.0
02/16/2020,68584,1666.0
02/17/2020,70635,1772.0
02/18/2020,72428,1870.0
02/19/2020,74280,2006.0
02/20/2020,74675,2121.0
02/21/2020,75569,2239.0
02/22/2020,76392,2348.0
02/23/2020,77042,2445.0
02/24/2020,77262,2595.0
02/25/2020,77780,2666.0
02/26/2020,78191,2718.0
02/27/2020,78630,2747.0
02/28/2020,78961,2791.0
02/29/2020,79394,2838.0
03/01/2020,79968,2873.0
03/02/2020,80174,2915.0
03/03/2020,80304,2946.0
03/04/2020,80422,2984.0
03/05/2020,80565,3015.0
03/06/2020,80711,3045.0
03/07/2020,80749,3073.0
03/08/2020,80779,3100.0
03/09/2020,80795,3123.0
03/10/2020,80800,3140.0
03/11/2020,80813,3162.0
03/12/2020,80826,3173.0
03/13/2020,80846,3180.0
03/14/2020,80850,3194.0
03/15/2020,80883,3204.0
03/16/2020,80901,3213.0
03/17/2020,80910,3226.0
03/18/2020,80919,3237.0
03/19/2020,80928,3245.0
03/20/2020,80967,3248.0
03/21/2020,81008,3255.0
03/22/2020,81054,3261.0
03/23/2020,81093,3270.0
03/24/2020,81171,3277.0
03/25/2020,81218,3281.0
03/26/2020,81285,3287.0
03/27/2020,81340,3292.0
03/28/2020,81394,3295.0
03/29/2020,81439,3300.0
03/30/2020,81470,3304.0
03/31/2020,81518,3305.0
04/01/2020,81554,3312.0
04/02/2020,81589,3318.0
04/03/2020,81620,3322.0
04/04/2020,81639,3326.0
04/05/2020,81669,3329.0
04/06/2020,81708,3331.0
04/07/2020,81740,3331.0
04/08/2020,81802,3333.0
04/09/2020,81865,3335.0
04/10/2020,81907,3336.0
04/11/2020,81953,3339.0
04/12/2020,82052,3339.0
04/13/2020,82160,3341.0
04/14/2020,82249,3341.0
04/15/2020,82295,3342.0
04/16/2020,82341,3342.0
04/17/2020,82367,3342.0
04/18/2020,82719,4632.0
04/19/2020,82735,4632.0
04/20/2020,82747,4632.0
04/21/2020,82758,4632.0
04/22/2020,82788,4632.0
04/23/2020,82798,4632.0
04/24/2020,82804,4632.0
04/25/2020,82816,4632.0
04/26/2020,82827,4632.0
04/27/2020,82830,4633.0
04/28/2020,82836,4633.0
04/29/2020,82858,4633.0
04/30/2020,82862,4633.0
05/01/2020,82874,4633.0
05/02/2020,82875,4633.0
05/03/2020,82877,4633.0
05/04/2020,82880,4633.0
05/05/2020,82881,4633.0
05/06/2020,82883,4633.0
05/07/2020,82885,4633.0
05/08/2020,82886,4633.0
05/09/2020,82887,4633.0
05/10/2020,82901,4633.0
05/11/2020,82918,4633.0
05/12/2020,82919,4633.0
05/13/2020,82926,4633.0
05/14/2020,82929,4633.0
05/15/2020,82933,4633.0
05/16/2020,82941,4633.0
05/17/2020,82947,4634.0
05/18/2020,82954,4634.0
05/19/2020,82960,4634.0
05/20/2020,82965,4634.0
05/21/2020,82967,4634.0
05/22/2020,82971,4634.0
05/23/2020,82972,4634.0
05/24/2020,82974,4634.0
05/25/2020,82985,4634.0
05/26/2020,82992,4634.0
05/27/2020,82993,4634.0
05/28/2020,82995,4634.0
05/29/2020,82997,4634.0
05/30/2020,82999,4634.0
05/31/2020,83001,4634.0
06/01/2020,83017,4634.0
06/02/2020,83022,4634.0
06/03/2020,83023,4634.0
06/04/2020,83025,4634.0
06/05/2020,83027,4634.0
06/06/2020,83030,4634.0
06/07/2020,83036,4634.0
06/08/2020,83040,4634.0
06/09/2020,83043,4634.0
06/10/2020,83046,4634.0
06/11/2020,83057,4634.0
06/12/2020,83064,4634.0
06/13/2020,83075,4634.0
06/14/2020,83132,4634.0
06/15/2020,83181,4634.0
06/16/2020,83221,4634.0
06/17/2020,83265,4634.0
06/18/2020,83293,4634.0
06/19/2020,83325,4634.0
06/20/2020,83352,4634.0
06/21/2020,83378,4634.0
06/22/2020,83396,4634.0
06/23/2020,83418,4634.0
06/24/2020,83430,4634.0
06/25/2020,83449,4634.0
