Updated,Confirmed,Deaths
03/10/2020,1,0
03/11/2020,2,0
03/12/2020,2,0
03/13/2020,8,0
03/14/2020,8,0
03/15/2020,10,0
03/16/2020,12,0
03/17/2020,13,0
03/18/2020,15,0
03/19/2020,16,1
03/20/2020,19,1
03/21/2020,19,1
03/22/2020,19,1
03/23/2020,21,1
03/24/2020,25,1
03/25/2020,26,1
03/26/2020,26,1
03/27/2020,30,1
03/28/2020,32,1
03/29/2020,36,1
03/30/2020,36,1
03/31/2020,38,1
04/01/2020,44,2
04/02/2020,47,3
04/03/2020,53,3
04/04/2020,55,3
04/05/2020,58,3
04/06/2020,59,3
04/07/2020,63,3
04/08/2020,63,4
04/09/2020,64,4
04/10/2020,65,4
04/11/2020,69,4
04/12/2020,72,4
04/13/2020,73,4
04/14/2020,105,4
04/15/2020,125,5
04/16/2020,143,5
04/17/2020,163,5
04/18/2020,173,5
04/19/2020,196,5
04/20/2020,223,5
04/21/2020,233,5
04/22/2020,252,6
04/23/2020,257,6
04/24/2020,272,6
04/25/2020,288,7
04/26/2020,305,7
04/27/2020,350,7
04/28/2020,364,7
04/29/2020,381,7
04/30/2020,396,7
05/01/2020,422,8
05/02/2020,432,8
05/03/2020,463,8
05/04/2020,469,9
05/05/2020,471,9
05/06/2020,473,9
05/07/2020,478,9
05/08/2020,488,9
05/09/2020,490,9
05/10/2020,498,9
05/11/2020,502,9
05/12/2020,505,9
05/13/2020,507,9
05/14/2020,509,9
05/15/2020,510,9
05/16/2020,511,9
05/17/2020,517,9
05/18/2020,520,9
05/19/2020,523,9
05/20/2020,526,9
05/21/2020,530,9
05/22/2020,534,9
05/23/2020,544,9
05/24/2020,550,9
05/25/2020,552,9
05/26/2020,556,9
05/27/2020,564,9
05/28/2020,569,9
05/29/2020,572,9
05/30/2020,575,9
05/31/2020,581,9
06/01/2020,586,9
06/02/2020,588,9
06/03/2020,590,9
06/04/2020,591,10
06/05/2020,593,10
06/06/2020,595,10
06/07/2020,596,10
06/08/2020,598,10
06/09/2020,605,10
06/10/2020,608,10
06/11/2020,611,10
06/12/2020,614,10
06/13/2020,615,10
06/14/2020,617,10
06/15/2020,621,10
06/16/2020,623,10
06/17/2020,626,10
06/18/2020,638,10
06/19/2020,652,10
06/20/2020,657,10
06/21/2020,659,10
06/22/2020,665,10
06/23/2020,670,10
06/24/2020,678,10
06/25/2020,684,10
06/26/2020,686,10
06/27/2020,690,10
06/28/2020,696,10
06/29/2020,698,10
06/30/2020,702,10
07/01/2020,707,10
07/02/2020,715,10
07/03/2020,721,10
07/04/2020,728,10
07/05/2020,728,10
