Updated,Confirmed,Deaths
03/18/2020,1,0.0
03/19/2020,1,0.0
03/20/2020,1,0.0
03/21/2020,1,0.0
03/22/2020,1,0.0
03/23/2020,3,0.0
03/24/2020,3,0.0
03/25/2020,11,0.0
03/26/2020,11,0.0
03/27/2020,12,0.0
03/28/2020,12,0.0
03/29/2020,18,0.0
03/30/2020,18,0.0
03/31/2020,30,0.0
04/01/2020,30,0.0
04/02/2020,40,0.0
04/03/2020,40,0.0
04/04/2020,50,0.0
04/05/2020,59,0.0
04/06/2020,90,0.0
04/07/2020,112,0.0
04/08/2020,135,0.0
04/09/2020,142,0.0
04/10/2020,150,1.0
04/11/2020,187,2.0
04/12/2020,214,2.0
04/13/2020,298,2.0
04/14/2020,330,2.0
04/15/2020,363,2.0
04/16/2020,591,2.0
04/17/2020,732,2.0
04/19/2020,846,2.0
04/21/2020,945,2.0
04/22/2020,974,2.0
04/23/2020,986,2.0
04/24/2020,999,2.0
04/25/2020,1008,2.0
04/26/2020,1023,2.0
04/27/2020,1035,2.0
04/28/2020,1072,2.0
04/29/2020,1077,2.0
04/30/2020,1089,2.0
05/01/2020,1097,2.0
05/02/2020,1112,2.0
05/03/2020,1114,2.0
05/04/2020,1116,2.0
05/05/2020,1120,2.0
05/06/2020,1126,3.0
05/07/2020,1133,3.0
05/08/2020,1135,3.0
05/09/2020,1189,3.0
05/10/2020,1210,3.0
05/11/2020,1227,3.0
05/12/2020,1256,3.0
05/13/2020,1286,3.0
05/14/2020,1297,3.0
05/15/2020,1309,4.0
05/16/2020,1331,4.0
05/17/2020,1401,4.0
05/18/2020,1518,7.0
05/19/2020,1673,7.0
05/20/2020,1828,9.0
05/21/2020,2047,10.0
05/22/2020,2270,10.0
05/23/2020,2336,10.0
05/24/2020,2402,10.0
05/25/2020,2468,14.0
05/26/2020,2582,14.0
05/27/2020,2697,18.0
05/28/2020,2914,20.0
05/29/2020,3054,20.0
05/30/2020,3194,22.0
05/31/2020,3354,24.0
06/01/2020,3569,24.0
06/02/2020,3779,25.0
06/03/2020,3916,25.0
06/04/2020,4054,26.0
06/05/2020,4123,26.0
06/06/2020,4169,26.0
06/07/2020,4207,28.0
06/08/2020,4278,31.0
06/09/2020,4325,31.0
06/10/2020,4373,34.0
06/11/2020,4398,37.0
06/12/2020,4441,38.0
06/13/2020,4449,41.0
06/14/2020,4466,41.0
06/15/2020,4483,41.0
06/16/2020,4501,43.0
06/17/2020,4539,43.0
06/18/2020,4545,43.0
06/19/2020,4557,43.0
06/20/2020,4565,45.0
06/21/2020,4582,45.0
06/22/2020,4599,48.0
06/23/2020,4617,49.0
06/24/2020,4630,52.0
06/25/2020,4635,52.0
