Updated,ConfirmedChange,DeathsChange
01/28/2020,0,0
01/29/2020,3,0
01/30/2020,0,0
01/31/2020,1,0
02/01/2020,2,0
02/02/2020,1,0
02/03/2020,2,0
02/04/2020,2,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,1,0
02/08/2020,1,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,2,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,2,0
02/26/2020,3,0
02/27/2020,5,0
02/28/2020,27,0
02/29/2020,13,0
03/01/2020,51,0
03/02/2020,33,0
03/03/2020,38,0
03/04/2020,52,0
03/05/2020,109,0
03/06/2020,185,0
03/07/2020,150,0
03/08/2020,163,0
03/09/2020,265,2
03/10/2020,348,0
03/11/2020,424,1
03/12/2020,485,2
03/13/2020,693,3
03/14/2020,733,0
03/15/2020,1043,4
03/16/2020,1174,0
03/17/2020,1144,0
03/18/2020,1042,0
03/19/2020,2801,8
03/20/2020,2958,11
03/21/2020,2705,16
03/22/2020,1948,8
03/23/2020,4062,31
03/24/2020,4764,28
03/25/2020,4118,35
03/26/2020,4954,49
03/27/2020,5780,55
03/28/2020,6294,72
03/29/2020,3965,64
03/30/2020,4751,66
03/31/2020,4615,128
04/01/2020,5453,149
04/02/2020,6156,140
04/03/2020,6174,145
04/04/2020,6082,141
04/05/2020,5936,184
04/06/2020,3677,92
04/07/2020,3834,173
04/08/2020,4003,254
04/09/2020,4974,246
04/10/2020,5323,266
04/11/2020,4133,171
04/12/2020,2821,129
04/13/2020,2537,126
04/14/2020,2082,170
04/15/2020,2486,285
04/16/2020,2866,315
04/17/2020,3380,299
04/18/2020,3609,242
04/19/2020,2458,184
04/20/2020,1775,110
04/21/2020,1785,194
04/22/2020,2237,281
04/23/2020,2352,215
04/24/2020,2337,227
04/25/2020,2055,179
04/26/2020,1737,140
04/27/2020,1018,110
04/28/2020,1144,163
04/29/2020,1304,202
04/30/2020,1478,173
05/01/2020,1639,193
05/02/2020,945,94
05/03/2020,793,74
05/04/2020,679,43
05/05/2020,685,139
05/06/2020,947,165
05/07/2020,1284,123
05/08/2020,1209,147
05/09/2020,1251,103
05/10/2020,667,26
05/11/2020,357,22
05/12/2020,933,116
05/13/2020,798,101
05/14/2020,933,89
05/15/2020,913,101
05/16/2020,620,57
05/17/2020,583,33
05/18/2020,342,21
05/19/2020,513,72
05/20/2020,797,83
05/21/2020,745,57
05/22/2020,460,27
05/23/2020,638,42
05/24/2020,431,31
05/25/2020,289,10
05/26/2020,432,45
05/27/2020,362,47
05/28/2020,353,62
05/29/2020,741,39
05/30/2020,738,39
05/31/2020,286,11
06/01/2020,333,11
06/02/2020,213,11
06/03/2020,342,29
06/04/2020,394,30
06/05/2020,507,32
06/06/2020,407,33
06/07/2020,301,22
06/08/2020,214,6
06/09/2020,350,37
06/10/2020,318,18
06/11/2020,555,26
06/12/2020,258,8
06/13/2020,348,18
06/14/2020,247,6
06/15/2020,192,4
06/16/2020,378,9
06/17/2020,345,30
06/18/2020,580,26
06/19/2020,770,16
06/20/2020,601,11
06/21/2020,687,1
06/22/2020,537,1
06/23/2020,503,10
06/24/2020,587,19
06/25/2020,630,13
06/26/2020,477,21
06/27/2020,687,6
06/28/2020,256,3
06/29/2020,262,4
06/30/2020,498,12
07/01/2020,466,12
07/02/2020,503,9
07/03/2020,446,9
07/04/2020,422,7
07/05/2020,239,2
07/06/2020,219,4
03/20/2020,219,4
03/22/2020,14,4
03/23/2020,141,4
03/25/2020,48,0
03/26/2020,60,0
04/02/2020,538,8
04/04/2020,230,8
04/05/2020,40,2
04/06/2020,19,0
04/07/2020,20,1
04/08/2020,88,2
04/09/2020,106,8
04/10/2020,113,7
04/11/2020,73,0
04/12/2020,93,1
04/13/2020,23,0
04/14/2020,36,2
04/15/2020,34,2
04/16/2020,108,12
04/17/2020,62,6
04/18/2020,41,2
04/19/2020,60,4
04/20/2020,17,0
04/21/2020,37,1
04/22/2020,114,7
04/23/2020,58,10
04/24/2020,89,6
04/25/2020,91,7
04/26/2020,67,3
04/27/2020,27,0
04/28/2020,26,6
04/29/2020,21,3
04/30/2020,63,4
05/01/2020,41,7
05/02/2020,14,2
05/03/2020,19,0
05/04/2020,9,0
05/05/2020,26,1
05/06/2020,29,4
05/07/2020,30,2
05/08/2020,38,2
05/09/2020,61,2
05/10/2020,3,1
05/11/2020,5,0
05/12/2020,5,2
05/13/2020,14,1
05/14/2020,10,1
05/15/2020,23,10
05/16/2020,11,1
05/17/2020,2,0
05/18/2020,1,0
05/19/2020,13,1
05/20/2020,8,1
05/21/2020,12,0
05/22/2020,6,1
05/23/2020,2,2
05/24/2020,1,0
05/25/2020,11,0
05/26/2020,11,0
05/27/2020,10,0
05/28/2020,15,1
05/29/2020,10,0
05/30/2020,0,0
05/31/2020,1,0
06/01/2020,1,0
06/02/2020,1,0
06/03/2020,3,1
06/04/2020,3,0
06/05/2020,8,0
06/06/2020,6,2
06/07/2020,3,0
06/08/2020,7,2
06/09/2020,2,0
06/10/2020,3,0
06/11/2020,43,1
06/12/2020,1,0
06/13/2020,1,2
06/14/2020,2,0
06/15/2020,2,0
06/16/2020,2,0
06/17/2020,2,0
06/18/2020,3,0
06/19/2020,9,0
06/20/2020,9,0
06/21/2020,5,0
06/22/2020,6,0
06/23/2020,13,1
06/24/2020,6,0
06/25/2020,15,1
06/26/2020,9,0
06/27/2020,0,0
06/28/2020,0,0
06/29/2020,1,0
06/30/2020,1,0
07/01/2020,1,0
07/02/2020,3,0
07/03/2020,7,1
07/04/2020,9,1
07/05/2020,1,0
03/20/2020,1,0
03/21/2020,26,0
03/22/2020,27,0
03/23/2020,351,1
03/25/2020,228,2
03/26/2020,299,4
04/02/2020,1247,12
