Updated,ConfirmedChange,DeathsChange
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,2,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,1,0
03/04/2020,0,0
03/05/2020,1,1
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,1,0
03/09/2020,9,0
03/10/2020,3,0
03/11/2020,1,0
03/12/2020,1,0
03/13/2020,7,0
03/14/2020,3,0
03/15/2020,22,0
03/16/2020,134,0
03/17/2020,54,0
03/18/2020,61,1
03/19/2020,159,0
03/20/2020,34,1
03/21/2020,151,0
03/22/2020,138,2
03/23/2020,103,1
03/24/2020,104,1
03/25/2020,66,1
03/26/2020,140,1
03/27/2020,211,2
03/28/2020,118,2
03/29/2020,99,5
03/30/2020,240,7
03/31/2020,174,1
04/01/2020,252,5
04/02/2020,159,4
04/03/2020,190,1
04/04/2020,178,5
04/05/2020,244,4
04/06/2020,494,6
04/07/2020,449,4
04/08/2020,202,6
04/09/2020,282,2
04/10/2020,206,3
04/11/2020,316,20
04/12/2020,219,5
04/13/2020,266,2
04/14/2020,341,3
04/15/2020,546,15
04/16/2020,536,17
04/17/2020,106,7
04/18/2020,613,9
04/19/2020,710,24
04/20/2020,70,8
04/21/2020,1147,25
04/22/2020,511,11
04/23/2020,981,23
04/24/2020,883,18
04/25/2020,783,16
04/26/2020,605,12
04/27/2020,587,11
04/28/2020,697,20
04/29/2020,913,31
04/30/2020,1292,42
05/01/2020,1297,32
05/02/2020,989,23
05/03/2020,981,17
05/04/2020,1417,29
05/05/2020,548,28
05/06/2020,1165,30
05/07/2020,1430,41
05/08/2020,1791,14
05/09/2020,2301,37
05/10/2020,1598,23
05/11/2020,607,8
05/12/2020,1733,57
05/13/2020,1662,13
05/14/2020,1452,33
05/15/2020,1430,33
05/16/2020,1581,31
05/17/2020,1352,39
05/18/2020,1974,30
05/19/2020,1841,36
05/20/2020,1932,46
05/21/2020,2193,32
05/22/2020,2603,50
05/23/2020,1743,34
05/24/2020,2164,32
05/25/2020,1748,34
05/26/2020,1356,30
05/27/2020,1446,28
05/28/2020,2076,35
05/29/2020,2801,57
05/30/2020,2429,78
05/31/2020,3039,88
06/01/2020,2964,60
06/02/2020,3938,78
06/03/2020,4065,67
06/04/2020,4801,82
06/05/2020,3985,68
06/06/2020,4734,97
06/07/2020,4960,67
06/08/2020,4728,65
06/09/2020,4646,105
06/10/2020,5385,83
06/11/2020,5834,101
06/12/2020,6397,107
06/13/2020,6472,88
06/14/2020,6825,81
06/15/2020,5248,97
06/16/2020,4443,110
06/17/2020,5839,136
06/18/2020,5358,118
06/19/2020,4944,136
06/20/2020,6604,153
06/21/2020,4951,119
06/22/2020,4471,89
06/23/2020,3946,105
06/24/2020,3892,60
06/25/2020,4044,148
06/26/2020,2775,59
06/27/2020,3138,73
06/28/2020,4072,83
06/29/2020,3555,49
06/30/2020,2827,137
07/01/2020,4133,91
07/02/2020,4339,78
07/03/2020,4087,78
07/04/2020,3927,68
07/05/2020,2651,93
