Updated,ConfirmedChange,DeathsChange
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,4,0
03/07/2020,1,0
03/08/2020,5,0
03/09/2020,6,0
03/10/2020,5,0
03/11/2020,9,0
03/12/2020,20,1
03/13/2020,17,1
03/14/2020,36,1
03/15/2020,21,0
03/16/2020,52,1
03/17/2020,61,1
03/18/2020,49,0
03/19/2020,68,0
03/20/2020,70,0
03/21/2020,111,0
03/22/2020,98,2
03/23/2020,115,1
03/24/2020,151,2
03/25/2020,151,3
03/26/2020,170,3
03/27/2020,168,0
03/28/2020,249,2
03/29/2020,224,4
03/30/2020,193,9
03/31/2020,256,2
04/01/2020,243,10
04/02/2020,392,14
04/03/2020,437,14
04/04/2020,244,8
04/05/2020,475,15
04/06/2020,311,13
04/07/2020,435,22
04/08/2020,357,29
04/09/2020,370,16
04/10/2020,380,7
04/11/2020,401,27
04/12/2020,318,24
04/13/2020,260,13
04/14/2020,268,18
04/15/2020,380,23
04/16/2020,336,28
04/17/2020,461,18
04/18/2020,363,15
04/19/2020,545,13
04/20/2020,306,20
04/21/2020,263,21
04/22/2020,313,25
04/23/2020,342,28
04/24/2020,381,40
04/25/2020,318,30
04/26/2020,344,11
04/27/2020,285,27
04/28/2020,316,34
04/29/2020,422,28
04/30/2020,300,20
05/01/2020,228,7
05/02/2020,270,12
05/03/2020,318,15
05/04/2020,313,19
05/05/2020,406,18
05/06/2020,311,18
05/07/2020,303,22
05/08/2020,337,21
05/09/2020,288,9
05/10/2020,345,15
05/11/2020,330,11
05/12/2020,556,27
05/13/2020,322,23
05/14/2020,411,22
05/15/2020,401,24
05/16/2020,241,8
05/17/2020,272,10
05/18/2020,356,11
05/19/2020,382,12
05/20/2020,471,14
05/21/2020,403,10
05/22/2020,472,10
05/23/2020,316,11
05/24/2020,361,3
05/25/2020,341,11
05/26/2020,443,17
05/27/2020,396,4
05/28/2020,352,10
05/29/2020,333,13
05/30/2020,412,10
05/31/2020,219,3
06/01/2020,373,10
06/02/2020,236,18
06/03/2020,292,23
06/04/2020,361,2
06/05/2020,362,20
06/06/2020,576,14
06/07/2020,575,4
06/08/2020,599,9
06/09/2020,400,19
06/10/2020,282,23
06/11/2020,359,9
06/12/2020,376,7
06/13/2020,440,15
06/14/2020,375,10
06/15/2020,396,9
06/16/2020,407,16
06/17/2020,450,14
06/18/2020,314,30
06/19/2020,352,18
06/20/2020,309,12
06/21/2020,311,10
06/22/2020,296,3
06/23/2020,300,16
06/24/2020,294,21
06/25/2020,298,16
06/26/2020,276,17
06/27/2020,319,6
06/28/2020,193,3
06/29/2020,247,6
06/30/2020,239,19
07/01/2020,382,14
07/02/2020,371,15
07/03/2020,259,15
07/04/2020,314,5
07/05/2020,231,5
07/06/2020,205,4
