Updated,ConfirmedChange,DeathsChange
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,1,1
02/27/2020,6,0
02/28/2020,5,0
02/29/2020,5,0
03/01/2020,4,0
03/02/2020,18,0
03/03/2020,15,0
03/04/2020,17,0
03/05/2020,30,0
03/06/2020,96,1
03/07/2020,56,0
03/08/2020,96,1
03/09/2020,19,0
03/10/2020,111,0
03/11/2020,160,1
03/12/2020,218,1
03/13/2020,281,2
03/14/2020,220,0
03/15/2020,858,5
03/16/2020,136,7
03/17/2020,324,3
03/18/2020,393,16
03/19/2020,818,16
03/20/2020,952,0
03/21/2020,1273,0
03/22/2020,901,0
03/23/2020,1046,54
03/24/2020,776,17
03/25/2020,929,21
03/26/2020,949,19
03/27/2020,1447,33
03/28/2020,1052,44
03/29/2020,1123,59
03/30/2020,1139,54
03/31/2020,701,78
04/01/2020,963,56
04/02/2020,1128,53
04/03/2020,1036,34
04/04/2020,975,91
04/05/2020,822,49
04/06/2020,557,50
04/07/2020,596,56
04/08/2020,995,74
04/09/2020,798,18
04/10/2020,505,89
04/11/2020,556,0
04/12/2020,308,101
04/13/2020,273,35
04/14/2020,248,36
04/15/2020,400,50
04/16/2020,396,51
04/17/2020,346,52
04/18/2020,326,41
04/19/2020,336,35
04/20/2020,204,35
04/21/2020,119,35
04/22/2020,205,35
04/23/2020,228,41
04/24/2020,181,37
04/25/2020,217,10
04/26/2020,167,14
04/27/2020,103,53
04/28/2020,100,36
04/29/2020,143,17
04/30/2020,179,21
05/01/2020,119,17
05/02/2020,112,8
05/03/2020,88,0
05/04/2020,76,22
05/05/2020,28,11
05/06/2020,51,10
05/07/2020,66,5
05/08/2020,81,13
05/09/2020,44,7
05/10/2020,54,3
05/11/2020,39,12
05/12/2020,36,22
05/13/2020,33,3
05/14/2020,50,2
05/15/2020,51,6
05/16/2020,58,1
05/17/2020,15,2
05/18/2020,10,5
05/19/2020,21,5
05/20/2020,40,1
05/21/2020,36,6
05/22/2020,13,5
05/23/2020,18,2
05/24/2020,11,1
05/25/2020,10,7
05/26/2020,15,2
05/27/2020,15,2
05/28/2020,20,2
05/29/2020,32,0
05/30/2020,17,0
05/31/2020,17,1
06/01/2020,9,0
06/02/2020,3,0
06/03/2020,19,1
06/04/2020,20,0
06/05/2020,23,0
06/06/2020,20,0
06/07/2020,9,0
06/08/2020,7,2
06/09/2020,16,11
06/10/2020,23,2
06/11/2020,33,1
06/12/2020,19,1
06/13/2020,31,0
06/14/2020,23,0
06/15/2020,14,3
06/16/2020,15,3
06/17/2020,37,3
06/18/2020,17,3
06/19/2020,17,3
06/20/2020,26,3
06/21/2020,49,0
06/22/2020,18,0
06/23/2020,22,0
06/24/2020,44,2
06/25/2020,52,0
06/26/2020,63,1
06/27/2020,64,1
06/28/2020,62,1
06/29/2020,35,1
06/30/2020,62,1
07/01/2020,137,1
07/02/2020,116,1
07/03/2020,100,-136
07/04/2020,-2008,0
07/05/2020,2209,-143
