Updated,ConfirmedChange,DeathsChange
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,1,0
03/06/2020,6,0
03/07/2020,1,1
03/08/2020,3,0
03/09/2020,5,0
03/10/2020,2,0
03/11/2020,2,0
03/12/2020,10,0
03/13/2020,3,1
03/14/2020,11,0
03/15/2020,11,0
03/16/2020,9,0
03/17/2020,14,0
03/18/2020,18,0
03/19/2020,31,1
03/20/2020,30,0
03/21/2020,67,1
03/22/2020,41,0
03/23/2020,35,0
03/24/2020,86,2
03/25/2020,115,2
03/26/2020,87,4
03/27/2020,101,5
03/28/2020,55,2
03/29/2020,75,1
03/30/2020,146,4
03/31/2020,88,3
04/01/2020,79,4
04/02/2020,132,5
04/03/2020,88,6
04/04/2020,98,1
04/05/2020,103,3
04/06/2020,74,7
04/07/2020,87,7
04/08/2020,80,5
04/09/2020,99,14
04/10/2020,81,3
04/11/2020,162,7
04/12/2020,66,5
04/13/2020,69,4
04/14/2020,160,7
04/15/2020,128,7
04/16/2020,98,10
04/17/2020,89,7
04/18/2020,81,3
04/19/2020,102,2
04/20/2020,90,8
04/21/2020,113,9
04/22/2020,143,8
04/23/2020,147,6
04/24/2020,172,11
04/25/2020,172,9
04/26/2020,112,7
04/27/2020,111,5
04/28/2020,124,10
04/29/2020,158,7
04/30/2020,143,4
05/01/2020,104,7
05/02/2020,149,12
05/03/2020,102,9
05/04/2020,104,14
05/05/2020,133,4
05/06/2020,188,9
05/07/2020,163,9
05/08/2020,240,11
05/09/2020,165,7
05/10/2020,258,5
05/11/2020,244,9
05/12/2020,285,5
05/13/2020,316,10
05/14/2020,255,24
05/15/2020,345,3
05/16/2020,326,7
05/17/2020,263,10
05/18/2020,303,9
05/19/2020,438,11
05/20/2020,474,10
05/21/2020,648,13
05/22/2020,718,17
05/23/2020,704,12
05/24/2020,723,7
05/25/2020,552,15
05/26/2020,600,23
05/27/2020,705,10
05/28/2020,769,8
05/29/2020,717,12
05/30/2020,795,8
05/31/2020,637,11
06/01/2020,564,17
06/02/2020,904,13
06/03/2020,949,14
06/04/2020,929,25
06/05/2020,840,24
06/06/2020,983,16
06/07/2020,774,16
06/08/2020,826,29
06/09/2020,1141,24
06/10/2020,1226,18
06/11/2020,1386,30
06/12/2020,1391,20
06/13/2020,1531,30
06/14/2020,1282,18
06/15/2020,1208,21
06/16/2020,1374,24
06/17/2020,1393,35
06/18/2020,1958,35
06/19/2020,2060,31
06/20/2020,1634,13
06/21/2020,1581,19
06/22/2020,2146,32
06/23/2020,2285,35
06/24/2020,2635,38
06/25/2020,2606,34
06/26/2020,2886,34
06/27/2020,2401,23
06/28/2020,2189,25
06/29/2020,2335,48
06/30/2020,2262,27
07/01/2020,2667,44
07/02/2020,2744,34
07/03/2020,2845,52
07/04/2020,2590,44
07/05/2020,2439,26
07/06/2020,2632,75
07/02/2020,2632,75
07/03/2020,1734,18
07/04/2020,1849,34
07/05/2020,1517,25
04/15/2020,1517,25
04/17/2020,0,25
04/19/2020,0,25
04/21/2020,0,25
04/23/2020,0,25
04/25/2020,0,25
04/27/2020,0,25
04/29/2020,0,25
04/30/2020,0,25
05/01/2020,0,25
05/02/2020,0,25
05/03/2020,0,25
05/04/2020,0,25
05/05/2020,0,25
05/06/2020,0,25
05/07/2020,0,25
05/08/2020,0,25
05/09/2020,0,25
05/10/2020,0,25
05/11/2020,0,25
05/12/2020,0,25
05/13/2020,0,25
05/14/2020,0,25
05/15/2020,0,25
05/16/2020,0,25
05/17/2020,0,25
05/18/2020,0,25
05/19/2020,0,25
05/20/2020,0,25
05/21/2020,0,25
05/22/2020,0,25
05/23/2020,0,25
05/24/2020,0,25
05/25/2020,0,25
05/26/2020,0,25
05/27/2020,0,25
05/28/2020,0,25
05/29/2020,0,25
05/30/2020,0,25
05/31/2020,0,25
06/01/2020,0,25
06/02/2020,0,25
06/03/2020,0,25
06/04/2020,0,25
