Updated,ConfirmedChange,DeathsChange
03/11/2020,0,0
03/12/2020,1,0
03/13/2020,1,0
03/14/2020,1,0
03/15/2020,1,0
03/16/2020,1,0
03/17/2020,1,0
03/18/2020,2,0
03/19/2020,0,0
03/20/2020,5,0
03/21/2020,0,0
03/22/2020,11,0
03/23/2020,0,0
03/24/2020,48,0
03/25/2020,7,0
03/26/2020,16,0
03/27/2020,5,0
03/28/2020,39,0
03/29/2020,25,1
03/30/2020,3,0
03/31/2020,11,0
04/01/2020,11,0
04/02/2020,4,0
04/03/2020,24,0
04/04/2020,27,0
04/05/2020,16,2
04/06/2020,62,0
04/07/2020,26,0
04/08/2020,35,0
04/09/2020,60,0
04/10/2020,36,0
04/11/2020,53,0
04/12/2020,41,2
04/13/2020,52,1
04/14/2020,12,0
04/15/2020,16,0
04/16/2020,34,0
04/17/2020,54,0
04/18/2020,59,2
04/19/2020,46,1
04/20/2020,32,1
04/21/2020,37,3
04/22/2020,36,1
04/23/2020,52,0
04/24/2020,73,0
04/25/2020,34,0
04/26/2020,39,0
04/27/2020,14,0
04/28/2020,19,0
04/29/2020,55,0
04/30/2020,37,0
05/01/2020,58,1
05/02/2020,29,0
05/03/2020,36,2
05/04/2020,34,0
05/05/2020,32,0
05/06/2020,52,1
05/07/2020,55,2
05/08/2020,31,0
05/09/2020,65,1
05/10/2020,33,0
05/11/2020,30,0
05/12/2020,127,0
05/13/2020,55,3
05/14/2020,59,0
05/15/2020,46,0
05/16/2020,44,1
05/17/2020,48,2
05/18/2020,10,1
05/19/2020,34,0
05/20/2020,78,1
05/21/2020,70,0
05/22/2020,40,0
05/23/2020,25,1
05/24/2020,10,0
05/25/2020,47,0
05/26/2020,54,0
05/27/2020,79,1
05/28/2020,85,1
05/29/2020,109,0
05/30/2020,49,1
05/31/2020,34,0
06/01/2020,118,0
06/02/2020,73,0
06/03/2020,86,0
06/04/2020,152,2
06/05/2020,169,1
06/06/2020,126,0
06/07/2020,182,0
06/08/2020,142,2
06/09/2020,114,0
06/10/2020,186,3
06/11/2020,223,0
06/12/2020,280,4
06/13/2020,164,0
06/14/2020,236,0
06/15/2020,355,0
06/16/2020,240,1
06/17/2020,384,0
06/18/2020,381,3
06/19/2020,430,0
06/20/2020,402,3
06/21/2020,216,2
06/22/2020,185,2
06/23/2020,227,2
06/24/2020,260,0
06/25/2020,170,2
06/26/2020,405,4
06/27/2020,205,2
06/28/2020,157,0
06/29/2020,113,0
06/30/2020,285,2
07/01/2020,203,0
07/02/2020,290,0
07/03/2020,252,2
07/04/2020,218,2
07/05/2020,310,2
07/06/2020,224,1
