Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
865,24,33,0.0,Aguascalientes
5140,91,808,0.0,Baja California
642,17,32,0.0,Baja California Sur
591,21,70,0.0,Campeche
1911,102,101,0.0,Chiapas
1639,57,286,0.0,Chihuahua
1135,34,72,0.0,Coahuila
153,5,21,0.0,Colima
388,21,33,0.0,Durango
1761,111,101,0.0,Guanajuato
1946,105,210,0.0,Guerrero
1828,70,247,0.0,Hidalgo
1906,119,133,0.0,Jalisco
15311,408,1046,0.0,México
25238,1270,2427,0.0,Mexico City
1953,68,143,0.0,Michoacán
1409,29,250,0.0,Morelos
611,27,46,0.0,Nayarit
1324,0,80,0.0,Nuevo León
1543,80,121,0.0,Oaxaca
3123,116,335,0.0,Puebla
930,30,95,0.0,Querétaro
1920,36,337,0.0,Quintana Roo
950,34,49,0.0,San Luis Potosí
3566,133,431,0.0,Sinaloa
2213,120,88,0.0,Sonora
4421,188,470,0.0,Tabasco
1668,62,95,0.0,Tamaulipas
1086,29,135,0.0,Tlaxcala
4142,168,460,0.0,Veracruz
1867,52,139,0.0,Yucatán
302,9,29,0.0,Zacatecas
