Confirmed,ConfirmedChange,Deaths,Recovered,AdminRegion1
398,27.0,17.0,0.0,Amazonas
2587,121.0,194.0,0.0,Ancash
118,6.0,0.0,0.0,Apurimac
2277,101.0,25.0,0.0,Arequipa
482,27.0,3.0,0.0,Ayacucho
510,27.0,3.0,0.0,Cajamarca
7986,301.0,192.0,0.0,Callao
753,29.0,3.0,0.0,Cuzco
294,17.0,1.0,0.0,Huancavelica
595,29.0,7.0,0.0,Huanuco
2000,95.0,124.0,0.0,Ica
1337,48.0,14.0,0.0,Junín
2705,163.0,93.0,0.0,La Libertad
5772,191.0,516.0,0.0,Lambayeque
72628,2473.0,1114.0,0.0,Lima
3274,108.0,262.0,0.0,Loreto
285,20.0,6.0,0.0,Madre de Dios
295,25.0,0.0,0.0,Moquegua
276,27.0,5.0,0.0,Pasco
3919,423.0,385.0,0.0,Piura
241,16.0,1.0,0.0,Puno
887,30.0,13.0,0.0,San Martin
271,17.0,4.0,0.0,Tacna
787,65.0,62.0,0.0,Tumbes
2604,126.0,104.0,0.0,Ucayali
